"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Govt.,Schools with functional computer facility - Pvt. aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others,% of Schools with functional computer facility - All management,% of Schools with functional computer facility - Govt.,% of Schools with functional computer facility - Pvt. aided,% of Schools with functional computer facility - Pvt. unaided,% of Schools with functional computer facility - Others"
"India,1551000,1083747,84623,326228,56402,519357,294525,46681,166362,11789,33.49,27.18,55.16,51.00,20.90"
"Andaman and Nicobar Islands,414,339,2,72,1,209,140,2,66,1,50.48,41.30,100.00,91.67,100.00"
"Andhra Pradesh,63621,45013,2346,15862,400,18371,6715,187,11430,39,28.88,14.92,7.97,72.06,9.75"
"Arunachal Pradesh,3793,3179,64,503,47,560,331,26,188,15,14.76,10.41,40.63,37.38,31.91"
"Assam,66324,47223,5065,6084,7952,8111,5405,280,2310,116,12.23,11.45,5.53,37.97,1.46"
"Bihar,89224,72630,698,6249,9647,9554,3921,98,2435,3100,10.71,5.40,14.04,38.97,32.13"
"Chandigarh,229,121,7,74,27,225,119,7,74,25,98.25,98.35,100.00,100.00,92.59"
"Chhattisgarh,56274,48671,434,6842,327,52308,47783,158,4288,79,92.95,98.18,36.41,62.67,24.16"
"Dadra and Nagar Haveli,346,300,10,35,1,246,208,6,31,1,71.10,69.33,60.00,88.57,100.00"
"Daman and Diu,140,112,4,23,1,127,103,4,19,1,90.71,91.96,100.00,82.61,100.00"
"Delhi,5703,2784,253,2666,0,5217,2568,213,2436,0,91.48,92.24,84.19,91.37,0.00"
"Goa,1486,833,514,139,0,713,137,450,126,0,47.98,16.45,87.55,90.65,0.00"
"Gujarat,54581,35202,5734,13641,4,37448,22731,4781,9934,2,68.61,64.57,83.38,72.82,50.00"
"Haryana,23554,14516,26,7913,1099,10977,4364,19,5966,648,46.73,30.06,73.08,75.39,60.06"
"Himachal Pradesh,18212,15433,0,2778,1,5770,3434,0,2336,0,31.68,22.25,0.00,84.09,0.00"
"Jammu and Kashmir,28654,23167,1,5439,47,6055,2909,1,3125,20,21.13,12.56,100.00,57.46,42.55"
"Jharkhand,45908,35954,1177,1400,7377,25521,22327,250,709,2235,55.59,62.1,21.24,50.64,30.3"
"Karnataka,78233,50184,7417,20604,28,71989,45734,6958,19269,28,92.02,91.13,93.81,93.52,100.00"
"Kerala,16701,5011,7195,3156,1339,14379,4446,6592,2580,961,86.10,88.72,88.84,81.75,71.77"
"Lakshadweep,45,45,0,0,0,41,41,0,0,0,91.11,91.11,0.00,0.00,0.00"
"Madhya Pradesh,154064,122056,874,29182,1952,9824,4286,70,5411,57,6.38,3.51,8.01,18.54,2.92"
"Maharashtra,109942,66033,23554,19400,955,73631,37333,19061,16527,710,66.97,56.54,80.92,85.19,74.35"
"Manipur,4844,3073,587,1003,181,1260,347,34,781,98,26.01,11.29,5.79,77.87,54.14"
"Meghalaya,14669,7802,4181,2220,466,1742,603,647,404,88,11.88,7.73,15.47,18.2,18.88"
"Mizoram,3913,2564,231,1025,93,1775,919,170,632,54,45.36,35.84,73.59,61.66,58.06"
"Nagaland,2752,2007,0,745,0,1059,566,0,493,0,38.48,28.2,0.00,66.17,0.00"
"Odisha,68717,55483,5770,4957,2507,6763,6584,115,16,48,9.84,11.87,1.99,0.32,1.91"
"Puducherry,739,423,33,283,0,639,368,26,245,0,86.47,87,78.79,86.57,0.00"
"Punjab,28637,19404,458,8495,280,15383,7822,365,6979,217,53.72,40.31,79.69,82.15,77.5"
"Rajasthan,105883,67607,0,35776,2500,44325,19854,0,23957,514,41.86,29.37,0.00,66.96,20.56"
"Sikkim,1290,854,19,417,0,719,427,10,282,0,55.74,50,52.63,67.63,0.00"
"Tamil Nadu,59152,37728,8355,12439,630,29053,17127,2781,8807,344,49.12,45.38,33.29,70.8,54.6"
"Telangana,42355,29822,707,11621,205,13527,6320,205,6967,35,31.94,21.19,29,59.95,17.07"
"Tripura,4945,4309,46,343,247,672,428,24,182,38,13.59,9.93,52.17,53.06,15.38"
"Uttar Pradesh,273235,163142,8090,87433,14570,32617,5513,2950,22593,1561,11.94,3.38,36.46,25.84,10.71"
"Uttarakhand,23559,16934,616,5519,490,7398,3390,345,3464,199,31.4,20.02,56.01,62.76,40.61"
"West Bengal,97828,82876,127,11777,3048,10828,9000,39,1234,555,11.07,10.86,30.71,10.48,18.21"
