"State/UT,NER - Primary (1 to 5) - Boys,NER - Primary (1 to 5) - Girls,NER - Primary (1 to 5) - Total,NER - Upper Primary (6 to 8) - Boys,NER - Upper Primary (6 to 8) - Girls,NER - Upper Primary (6 to 8) - Total,NER - Elementary (1 to 8) - Boys,NER - Elementary (1 to 8) - Girls,NER - Elementary (1 to 8) - Total,NER - Secondary (9-10) - Boys,NER - Secondary (9-10) - Girls,NER - Secondary (9-10) - Total,NER - Higher Secondary (11-12) - Boys,NER - Higher Secondary (11-12) - Girls,NER - Higher Secondary (11-12) - Total"
"India,88.5,89.8,89.1,68.2,69.9,69.0,87.83,89.15,88.46,48.2,49.0,48.6,30.0,31.7,30.8"
"Andaman and Nicobar Islands,71.4,74.4,72.8,59.3,61.5,60.4,72.24,75.26,73.69,43.7,51.0,47.1,32.8,42.1,37.1"
"Andhra Pradesh,82.7,77.4,80.1,65.0,62.8,63.9,85.35,81.2,83.33,49.7,47.7,48.8,27.7,28.7,28.2"
"Arunachal Pradesh,86.3,86.6,86.5,55.3,59.4,57.3,85.39,87.13,86.22,37.4,39.9,38.6,19.8,21.0,20.4"
"Assam,100.0,100.0,100.0,70.4,77.5,73.9,95.39,100,97.77,49.0,57.9,53.3,21.3,21.2,21.2"
"Bihar,86.7,89.8,88.2,67.9,74.4,71.0,82.72,87.3,84.94,31.0,34.2,32.5,13.0,12.7,12.8"
"Chandigarh,74.1,82.0,77.6,79.4,87.0,82.7,83.31,91.7,87.01,61.4,69.4,64.8,55.6,61.7,58.1"
"Chhattisgarh,89.2,89.2,89.2,79.3,81.2,80.3,90.8,90.95,90.88,58.7,67.4,63.0,31.1,37.8,34.4"
"Dadra and Nagar Haveli,76.4,79.9,78.0,67.8,71.0,69.3,87.58,89.89,88.66,48.9,60.7,53.9,18.4,35.8,24.4"
"Daman and Diu,88.9,92.3,90.5,69.3,70.8,70.0,80.92,83.8,82.24,57.4,63.1,60.0,27.0,38.3,31.8"
"Delhi,100.0,100.0,100.0,90.8,95.0,92.8,100,100,100,67.9,73.1,70.3,43.2,47.5,45.1"
"Goa,88.7,93.5,91.0,76.2,79.2,77.6,89.8,93.47,91.54,62.5,67.8,65.0,42.3,51.2,46.5"
"Gujarat,80.8,82.9,81.8,72.8,72.8,72.8,85.28,86.56,85.88,55.8,48.1,52.2,28.3,27.5,27.9"
"Haryana,84.7,83.2,84.1,69.9,68.6,69.3,89.9,88.74,89.37,54.3,51.5,53.0,32.6,31.8,32.2"
"Himachal Pradesh,89.8,91.5,90.6,74.7,75.5,75.2,92.51,93.98,93.21,67.0,67.3,67.2,52.3,55.1,53.6"
"Jammu and Kashmir,67.4,70.5,68.8,46.4,48.7,47.5,65.65,68.62,67.03,33.1,33.8,33.4,24.6,24.1,24.4"
"Jharkhand,95.1,93.9,94.5,69.8,72.6,71.2,90.23,90.89,90.35,40.6,43.1,41.9,19.6,20.1,19.8"
"Karnataka,98.3,96.2,97.3,79.4,77.5,78.5,98.46,96.64,97.58,59.1,57.2,58.2,34.5,41.4,37.8"
"Kerala,88.3,88.1,88.2,80.8,80.6,80.6,91.57,91.35,91.46,75.2,74.3,74.8,56.5,63.0,59.7"
"Ladakh,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null"
"Lakshadweep,73.7,75.4,74.5,58.5,56.0,57.1,69.64,69.24,69.44,57.2,62.7,59.9,52.8,58.8,55.9"
"Madhya Pradesh,79.3,78.6,79.0,70.4,68.7,69.6,83.04,81.86,82.47,48.2,45.4,46.9,25.0,24.5,24.7"
"Maharashtra,94.2,94.3,94.2,76.8,76.7,76.8,94.64,94.42,94.54,59.8,59.4,59.6,42.9,43.0,42.9"
"Manipur,100.0,100.0,100.0,67.7,70.2,68.9,99.84,100,100,48.1,50.3,49.2,38.3,35.7,37.0"
"Meghalaya,100.0,100.0,100.0,59.7,68.4,64.0,100,100,100,37.4,45.4,41.3,21.2,25.0,23.1"
"Mizoram,100.0,100.0,100.0,63.8,66.4,65.1,100,100,100,46.5,52.4,49.4,26.7,32.4,29.5"
"Nagaland,73.5,75.5,74.4,49.9,53.2,51.5,71.89,74.7,73.24,34.5,38.9,36.6,18.2,21.7,19.9"
"Odisha,76.0,76.1,76.1,63.6,62.9,63.2,83.64,82.7,83.18,48.7,49.1,48.9,29.1,32.7,30.9"
"Puducherry,73.6,75.7,74.6,64.8,65.9,65.4,77.09,79.1,78.05,53.2,57.0,55.0,40.8,48.7,44.5"
"Punjab,76.9,80.9,78.8,55.6,62.5,58.7,86.2,89.57,87.74,35.8,43.5,39.3,24.0,32.4,27.7"
"Rajasthan,85.7,85.7,85.7,65.8,61.5,63.8,87.54,85.39,86.52,49.3,43.8,46.7,35.1,29.2,32.3"
"Sikkim,78.3,75.9,77.1,55.9,60.5,58.2,79.77,78.27,79.03,44.2,50.0,47.1,20.9,28.2,24.5"
"Tamil Nadu,89.2,89.9,89.6,77.7,79.6,78.6,91.62,92.06,91.83,65.3,69.9,67.5,48.7,63.2,55.7"
"Telangana,91.7,91.1,91.4,69.2,69.2,69.2,92.21,92.01,92.12,54.1,55.0,54.5,35.3,40.2,37.7"
"Tripura,100.0,100.0,100.0,86.8,89.7,88.2,100,100,100,70.7,76.4,73.5,29.2,30.0,29.6"
"Uttar Pradesh,88.3,92.3,90.2,57.0,59.6,58.3,83.03,86.72,84.78,38.5,36.2,37.4,26.4,25.4,25.9"
"Uttarakhand,94.6,95.9,95.3,72.0,73.4,72.6,95.34,96.52,95.89,53.6,55.3,54.4,38.4,41.8,40.0"
"West Bengal,100.0,100.0,100.0,69.3,74.1,71.7,92.87,95.1,93.96,52.1,64.3,58.1,33.2,39.6,36.3"
