"State/UT,Retention Rate - Primary (1 to 5) - Boys,Retention Rate - Primary (1 to 5) - Girls,Retention Rate - Primary (1 to 5) - Total,Retention Rate - Elementary (1 to 8) - Boys,Retention Rate - Elementary (1 to 8) - Girls,Retention Rate - Elementary (1 to 8) - Total,Retention Rate - Secondary (9 to 10) - Boys,Retention Rate - Secondary (9 to 10) - Girls,Retention Rate - Secondary (9 to 10) - Total"
"India,85.8,86.9,86.3,70.5,71.9,71.2,58.3,58.0,58.2"
"Andaman and Nicobar Islands,96.0,94.0,95.0,90.2,92.0,91.1,46.3,60.9,53.4"
"Andhra Pradesh,92.3,92.0,92.2,41.7,41.7,41.7,39.3,39.1,39.2"
"Arunachal Pradesh,45.8,46.1,45.9,32.5,36.9,34.6,23.1,25.2,24.1"
"Assam,68.3,71.3,69.8,54.2,61.3,57.7,41.2,47.9,44.5"
"Bihar,91.1,95.3,93.2,61.3,66.6,63.9,39.3,42.8,41.0"
"Chandigarh,100,100,100,100,100,100,100,100,100"
"Chhattisgarh,88.7,90.3,89.5,77.8,80.9,79.3,46.5,60.6,53.4"
"Dadra and Nagar Haveli,97.6,97.4,97.5,96.2,95.2,95.7,72.6,74.8,73.6"
"Daman and Diu,100,100,100,89.3,94.9,91.8,61.8,72.9,67.0"
"Delhi,100,100,100,100,100,100,83.3,85.3,84.3"
"Goa,95.5,95.3,95.4,100.0,100.0,100.0,85.0,93.3,89.0"
"Gujarat,95.5,95.6,95.5,91.8,87.0,89.5,73.1,61.6,67.7"
"Haryana,100,100,100,97.3,95.5,96.5,100,90.1,97.0"
"Himachal Pradesh,99.0,98.3,98.7,95.9,96.1,96.0,88.9,90.5,89.7"
"Jammu and Kashmir,70.7,71.3,71.0,62.4,63.4,62.9,50.5,50.6,50.6"
"Jharkhand,80.2,82.6,81.4,54.8,58.6,56.6,33.9,35.2,34.5"
"Karnataka,95.7,95.8,95.7,87.5,87.2,87.4,76.6,77.4,77.0"
"Kerala,98.8,99.1,99.0,100,100,100,100,100,100"
"Ladakh,Null,Null,Null,Null,Null,Null,Null,Null,Null"
"Lakshadweep,100,100,100,83.9,95.4,89.5,78.2,93.2,85.4"
"Madhya Pradesh,84.4,86.0,85.1,66.0,66.3,66.1,42.3,40.0,41.2"
"Maharashtra,96.3,96.5,96.4,95.4,93.9,94.7,82.8,79.7,81.3"
"Manipur,69.9,66.1,68.0,53.4,52.2,52.8,41.9,41.5,41.7"
"Meghalaya,52.1,57.8,54.8,40.5,48.2,44.3,30.7,38.3,34.4"
"Mizoram,60.0,61.2,60.6,45.8,47.8,46.8,38.7,42.3,40.5"
"Nagaland,61.8,63.1,62.4,46.2,48.2,47.2,31.6,35.1,33.3"
"Odisha,88.6,88.1,88.4,74.5,74.2,74.3,62.3,65.1,63.7"
"Puducherry,98.2,98.4,98.3,94.3,94.6,94.4,85.4,91.1,88.2"
"Punjab,89.0,89.4,89.1,82.9,83.3,83.1,100,100,100"
"Rajasthan,77.1,78.7,77.8,67.0,64.0,65.6,52.9,47.6,50.5"
"Sikkim,94.6,99.6,96.9,68.8,82.8,75.3,48.9,63.0,55.6"
"Tamil Nadu,92.2,90.1,91.2,86.7,86.5,86.6,76.1,80.8,78.4"
"Telangana,84.0,84.4,84.2,Null,Null,Null,Null,Null,Null"
"Tripura,93.2,94.3,93.8,79.7,82.7,81.2,47.7,52.2,49.9"
"Uttar Pradesh,76.6,77.2,76.9,59.4,61.1,60.2,61.7,54.8,58.4"
"Uttarakhand,85.8,87.0,86.3,78.4,80.8,79.5,72.7,74.7,73.6"
"West Bengal,85.3,89.7,87.4,55.2,63.2,59.1,38.1,50.1,43.9"
