"State/UT,Retention Rate - Primary (1 to 5) - Boys,Retention Rate - Primary (1 to 5) - Girls,Retention Rate - Primary (1 to 5) - Total,Retention Rate - Elementary (1 to 8) - Boys,Retention Rate - Elementary (1 to 8) - Girls,Retention Rate - Elementary (1 to 8) - Total,Retention Rate - Secondary (1 to 10) - Boys,Retention Rate - Secondary (1 to 10) - Girls,Retention Rate - Secondary (1 to 10) - Total,Retention Rate - Higher Secondary (1 to 12) - Boys,Retention Rate - Higher Secondary (1 to 12) - Girls,Retention Rate - Higher Secondary (1 to 12) - Total"
"India,94.7,95.9,95.3,79.9,82.1,80.9,61.9,61.1,61.5,42.1,43.6,42.8"
"Andaman and Nicobar Islands,95.6,97.5,96.5,91.0,95.0,92.9,100.0,100.0,100.0,47.0,60.9,53.8"
"Andhra Pradesh,100.0,100.0,100.0,83.3,83.7,83.5,43.5,43.3,43.4,27.2,29.0,28.1"
"Arunachal Pradesh,58.6,62.3,60.4,42.2,46.2,44.2,35.4,40.2,37.7,18.7,21.8,20.2"
"Assam,78.3,80.7,79.5,61.0,69.3,65.1,38.6,49.6,44.0,29.6,30.4,30.0"
"Bihar,100.0,100.0,100.0,72.6,78.2,75.3,41.3,44.9,43.0,21.7,25.3,23.3"
"Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
"Chhattisgarh,91.9,92.7,92.3,86.7,89.0,87.8,63.9,72.2,67.9,35.8,45.6,40.5"
"Dadra and Nagar Haveli and Daman and Diu,96.6,97.2,96.9,93.7,99.4,96.4,84.0,89.6,86.6,47.3,54.8,50.8"
"Delhi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.8,84.9,81.2"
"Goa,94.6,96.2,95.3,95.5,94.9,95.3,100.0,100.0,100.0,70.0,78.7,74.2"
"Gujarat,95.4,95.4,95.4,92.1,89.9,91.1,70.1,61.2,66.0,37.6,37.3,37.5"
"Haryana,100.0,100.0,100.0,97.6,95.9,96.9,100.0,98.3,100.0,74.3,82.8,78.0"
"Himachal Pradesh,98.1,98.4,98.3,97.9,96.8,97.4,100.0,100.0,100.0,82.1,85.5,83.7"
"Jammu and Kashmir,85.5,87.0,86.2,67.6,67.4,67.5,60.2,56.9,58.6,45.6,41.7,43.8"
"Jharkhand,88.5,93.4,90.8,64.5,68.8,66.6,39.0,41.9,40.4,25.8,25.9,25.8"
"Karnataka,96.3,98.5,97.3,89.6,90.1,89.8,80.8,80.4,80.6,49.4,57.3,53.2"
"Kerala,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.4,100.0,100.0"
"Ladakh,82.9,85.6,84.2,72.8,77.1,74.9,NULL,NULL,NULL,NULL,NULL,NULL"
"Lakshadweep,100.0,100.0,100.0,100.0,100.0,100.0,80.1,85.0,82.5,87.3,95.1,91.1"
"Madhya Pradesh,92.7,94.7,93.7,72.3,73.6,72.9,45.7,43.4,44.6,29.3,30.8,30.0"
"Maharashtra,97.9,98.2,98.0,93.7,93.6,93.7,91.5,88.1,89.9,61.0,61.4,61.2"
"Manipur,72.1,72.4,72.3,51.6,52.4,52.0,46.1,46.4,46.3,33.5,34.4,33.9"
"Meghalaya,61.5,68.4,64.9,45.8,54.8,50.2,29.9,38.7,34.3,16.8,20.8,18.8"
"Mizoram,64.8,66.8,65.7,52.9,54.1,53.5,46.2,55.8,50.8,27.2,32.5,29.8"
"Nagaland,74.6,76.1,75.4,49.2,52.6,50.9,39.2,45.9,42.4,24.2,30.9,27.4"
"Odisha,91.6,91.1,91.4,90.4,90.0,90.2,71.8,73.0,72.4,37.0,40.7,38.8"
"Puducherry,99.9,100.0,100.0,99.6,100.0,99.9,98.1,97.4,97.7,74.3,83.8,79.0"
"Punjab,97.7,98.3,97.9,97.6,96.6,97.2,93.5,90.0,91.9,94.7,95.3,95.0"
"Rajasthan,88.5,89.7,89.0,73.3,73.8,73.5,72.1,65.8,69.2,40.2,36.9,38.7"
"Sikkim,100.0,100.0,100.0,85.1,98.7,91.4,61.8,76.4,68.9,39.8,51.3,45.4"
"Tamil Nadu,96.7,95.7,96.2,90.8,90.0,90.4,78.7,77.1,77.9,64.1,76.2,70.0"
"Telangana,92.6,92.6,92.6,84.2,85.9,85.0,NULL,NULL,NULL,NULL,NULL,NULL"
"Tripura,94.5,96.6,95.5,84.4,86.6,85.5,54.1,60.5,57.2,29.2,31.0,30.1"
"Uttar Pradesh,89.5,89.8,89.6,66.6,68.3,67.4,50.4,44.5,47.6,46.6,39.0,42.9"
"Uttarakhand,89.6,90.6,90.1,82.9,84.8,83.8,83.4,84.8,82.1,63.2,68.3,65.6"
"West Bengal,100.0,100.0,100.0,100.0,100.0,100.0,47.0,60.1,53.4,32.6,39.4,35.9"
