"State/UT,NER - Primary (1 to 5) - Boys,NER - Primary (1 to 5) - Girls,NER - Primary (1 to 5) - Total,NER - Upper Primary (6 to 8) - Boys,NER - Upper Primary (6 to 8) - Girls,NER - Upper Primary (6 to 8) - Total,NER - Elementary (1 to 8) - Boys,NER - Elementary (1 to 8) - Girls,NER - Elementary (1 to 8) - Total,NER - Secondary (9-10) - Boys,NER - Secondary (9-10) - Girls,NER - Secondary (9-10) - Total,NER - Higher Secondary (11-12) - Boys,NER - Higher Secondary (11-12) - Girls,NER - Higher Secondary (11-12) - Total"
"India,87.3,90,88.6,71.7,71.7,71.7,89.7,91.5,90.5,47.9,49.3,48.5,33.5,35,34.2"
"Andaman and Nicobar Islands,59.8,63,61.4,54.8,56.3,55.5,63.5,66.1,64.8,43.5,49.3,46.2,37.5,44.5,40.8"
"Andhra Pradesh,83.7,83.9,83.8,72.5,68.6,70.6,89.6,88.1,88.9,51.8,49,50.4,34.7,37.2,35.9"
"Arunachal Pradesh,98.6,100,99.3,55.6,59.6,57.6,91.8,94.8,93.3,36.2,38.5,37.3,29.8,32.6,31.2"
"Assam,100,100,100,70.1,77.9,74,97.4,100,98.7,53.9,53.5,58.6,25.3,28.3,26.7"
"Bihar,91.7,94.4,93,70.5,72.9,71.7,89.2,91.7,90.4,33.5,35.8,34.6,16.6,16.9,16.7"
"Chandigarh,70.3,78.9,74.1,68.7,78.2,72.8,76.5,86,80.7,57.9,66,61.4,52.8,62.5,56.9"
"Chhattisgarh,85.7,86.2,85.9,76,77,76.5,87.5,88,87.7,52.7,57.6,55.1,42.8,50.9,46.8"
"Dadra and Nagar Haveli and Daman and Diu,77.4,82.6,79.8,72.5,76.3,74.3,82.4,86.8,84.4,46,51.4,48.4,28,43.2,33.9"
"Delhi,97.5,100,100,97.2,100,98.9,100,100,100,70.4,72.9,71.6,56.7,62.4,59.2"
"Goa,77.7,81.9,79.7,67.2,71,69,80.7,84.3,82.4,54.1,60,56.8,49.1,53.3,51.1"
"Gujarat,75.1,79.4,77.1,65.8,66,65.9,81,84.1,82.4,46.7,44,45.4,28.7,28.6,28.6"
"Haryana,81.7,82.2,82,71.9,69.8,70.9,89.6,89.7,89.7,54,50.5,52.4,41.6,40.9,41.3"
"Himachal Pradesh,86.9,87.8,87,70.5,72.7,71.7,92,93.8,92.7,53.4,53.7,53.6,53.4,55.7,54.5"
"Jammu and Kashmir,85.7,86.5,86.2,42,45.1,43.4,75.2,78.1,76.6,30.6,31.4,31,30.3,30.1,30.2"
"Jharkhand,89.3,91.1,90.1,69.8,71.6,70.7,88.6,90.1,89.3,39.9,42.7,41.3,25.6,28.2,26.9"
"Karnataka,95.7,96.1,95.9,86.2,84.6,85.4,99.4,99.5,99.5,66.8,66.8,66.8,40.3,43.8,42"
"Kerala,86.8,86.5,86.7,75.4,75.3,75.3,92,91.6,91.8,59.5,59.4,59.5,52.5,57.1,54.8"
"Ladakh,57.5,62.3,59.8,38.3,48,42.8,58.6,66.4,62.3,27.3,32.7,29.9,30.2,30.4,30.3"
"Lakshadweep,74.1,75.5,74.8,62.9,50.1,56.2,77,67.7,72.3,52,51.3,51.7,49.2,46.7,47.9"
"Madhya Pradesh,70,70.5,70.3,65.1,66,65.5,77.6,77.4,77.5,42.2,41.3,41.8,30.6,30.3,30.4"
"Maharashtra,94.3,99.3,96.6,80.6,79.6,80.1,96.2,98.6,97.3,63.6,62.5,63.1,47.9,48.1,48.1"
"Manipur,100,100,100,68.9,72,70.4,100,100,100,59.1,61,60,56.2,56.9,56.5"
"Meghalaya,100,100,100,69.6,82.1,75.7,100,100,100,42,52.5,47.2,21.6,28,24.8"
"Mizoram,100,100,100,75.4,78.1,76.7,100,100,100,48.5,55,51.7,32,39.4,35.6"
"Nagaland,80.4,84.3,82.2,46.3,50.9,48.5,73.9,79,76.4,33.7,39.3,36.4,18.6,23.5,21"
"Odisha,82.5,82.4,82.5,65.7,66.1,65.9,85.7,85.6,85.6,49.1,49.8,49.4,24.2,26.6,25.4"
"Puducherry,61.4,62.8,62.1,52.3,55.2,53.7,67.3,68.7,68,38.7,43.3,40.8,37.4,42.8,40"
"Punjab,89.3,90,89.7,70.8,75.4,72.9,94.6,96.2,95.3,50.8,54.6,52.5,42.7,47.5,44.9"
"Rajasthan,82.9,85.3,84.1,68.3,65.6,67,87.9,88.2,88.1,45.8,42.4,44.2,40.3,36.5,38.4"
"Sikkim,85.9,83.3,84.8,52,53.7,52.8,80.5,79.1,79.8,42,46.9,44.4,28.7,35.7,32.2"
"Tamil Nadu,82.4,85.7,84,74.2,72.5,73.4,89.7,90.4,90,59.2,57,58.1,47.2,50.8,48.9"
"Telangana,94.4,94,93.1,80.9,78.9,79.9,98.2,98.6,98.4,60.1,59.5,59.8,39.9,42.2,41"
"Tripura,100,100,100,78,81.7,79.8,100,100,100,65.7,70.7,68.1,43.8,50.6,47.1"
"Uttarakhand,83,87.1,84.9,61.9,63.5,62.7,85.4,88.7,87,35.2,32.2,33.8,25.7,23.7,24.8"
"Uttar Pradesh,94.8,99.5,97.1,70.6,72,71.3,97.2,100,98.9,48.7,49.9,49.1,41.7,43.9,42.7"
"West Bengal,100,100,100,82.8,83.9,83.3,100,100,100,66.2,72.8,69.4,40.2,52.1,46"
