"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with functional computer facility - All management,Schools with functional computer facility - Govt.,Schools with functional computer facility - Pvt. aided,Schools with functional computer facility - Pvt. unaided,Schools with functional computer facility - Others,% of Schools with functional computer facility - All management,% of Schools with functional computer facility - Govt.,% of Schools with functional computer facility - Pvt. aided,% of Schools with functional computer facility - Pvt. unaided,% of Schools with functional computer facility - Others"
"India,1466109,1016010,81486,323430,45183,636425,341868,55361,223592,15604,43.4,33.6,67.9,69.1,34.5"
"Andaman & Nicobar Islands,414,342,2,70,0,277,209,2,66,0,66.9,61.1,100,94.3,0"
"Andhra Pradesh,61680,45167,1202,15127,184,56522,4033,1058,14965,166,91.6,89.3,88,98.9,90.2"
"Arunachal Pradesh,3543,2922,71,503,47,1161,651,64,414,32,32.8,22.3,90.1,82.3,68.1"
"Assam,58876,44925,3386,5677,4888,9051,6108,213,2646,84,15.4,13.6,6.3,46.6,1.7"
"Bihar,91447,75550,724,8053,7120,14860,6445,93,5171,3151,16.2,8.5,12.8,64.2,44.3"
"Chandigarh,230,119,7,77,27,230,119,7,77,27,100,100,100,100,100"
"Chhattisgarh,56333,48728,415,6931,259,21183,16487,175,4480,41,37.6,33.8,42.2,64.6,15.8"
"Dadra & Nagar Haveli and Daman & Diu,459,387,8,63,1,436,364,8,63,1,95,94.1,100,100,100"
"Delhi,5488,2673,245,2570,0,5488,2673,245,2570,0,100,100,100,100,0"
"Goa,1504,806,558,140,0,799,150,524,125,0,53.1,18.6,93.9,89.9,0"
"Gujarat,53603,34651,5562,13387,3,51576,33408,5453,12712,3,96.2,96.4,98,95,100"
"Haryana,23561,14443,6,8315,797,22118,13765,5,7734,614,93.9,95.3,83.3,93,77"
"Himachal Pradesh,18062,15447,0,2613,2,6874,4554,0,2320,0,38.1,29.5,0,88.8,0"
"Jammu & Kashmir,24278,18785,1,5407,85,8352,4470,1,3834,47,34.4,23.8,100,70.9,55.3"
"Jharkhand,44596,35764,1149,1583,6100,18582,13072,337,1356,3817,41.7,36.6,29.3,85.7,62.6"
"Karnataka,76090,49520,7029,19531,10,34718,14871,4482,15360,5,45.6,30,63.8,78.6,50"
"Kerala,15934,4811,7178,3095,850,15782,4777,7153,3056,796,99,99.3,99.7,98.7,93.6"
"Ladakh,979,841,27,111,0,426,327,7,92,0,43.5,38.9,25.9,82.9,0"
"Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0"
"Madhya Pradesh,122937,92741,615,28047,1534,31542,11017,258,19851,416,25.7,11.9,42,70.8,27.1"
"Maharashtra,108451,65431,23964,18723,333,80085,40492,21624,17660,309,73.8,61.9,90.2,94.3,92.8"
"Manipur,4627,2922,583,996,126,1376,475,38,800,63,29.7,16.3,6.5,80.3,50"
"Meghalaya,14588,7778,4173,2121,516,2253,676,849,593,135,15.4,8.7,20.3,28,26.2"
"Mizoram,3891,2567,230,1023,71,1387,722,139,501,39,36,28.1,60.4,49,54.9"
"Nagaland,2717,1954,0,762,1,1407,739,0,645,1,51,37.8,0,84.6,100"
"Odisha,61891,48767,5920,6062,1142,20088,11833,3241,4373,640,32.5,24.3,54.7,72.1,56"
"Puducherry,729,422,33,274,0,729,422,33,274,0,100,100,100,100,0"
"Punjab,27592,19245,447,7886,14,26538,18642,403,7486,7,96.2,96.9,90.2,94.9,50"
"Rajasthan,106670,69538,0,34497,2635,46270,23590,0,22333,547,43.4,32.2,0,67.6,20.8"
"Sikkim,1250,864,18,368,0,1082,740,12,330,0,86.6,85.6,66.7,89.7,0"
"Tamil Nadu,58150,37658,8279,11969,244,42648,27112,4333,11006,197,73.3,72,52.3,92,80.7"
"Telangana,42476,29997,670,11707,102,17102,7397,240,9449,16,40.3,24.7,35.8,80.7,15.7"
"Tripura,4912,4245,43,367,257,1656,1332,26,265,33,33.7,31.4,60.5,72.2,12.8"
"Uttar Pradesh,251094,137003,8249,92348,13494,61130,12123,3857,42492,2658,24.3,8.8,46.8,46,19.7"
"Uttarakhand,22618,16381,613,5140,484,13822,9161,437,4059,165,61.1,55.9,71.3,79,34.1"
"West Bengal,94402,82579,79,7887,3857,18888,13798,58,3438,1594,20,16.7,73.4,43.6,41.3"
