"State/UT,NER - Foundational (Pre-Primary to Class II) - Boys,NER - Foundational (Pre-Primary to Class II) - Girls,NER - Foundational (Pre-Primary to Class II) - Total,NER - Preparatory (Class III to Class V) - Boys,NER - Preparatory (Class III to Class V) - Girls,NER - Preparatory (Class III to Class V) - Total,NER - Middle (Class VI to Class VIII) - Boys,NER - Middle (Class VI to Class VIII) - Girls,NER - Middle (Class VI to Class VIII) - Total,NER - Secondary (Class IX to XII) - Boys,NER - Secondary (Class IX to XII) - Girls,NER - Secondary (Class IX to XII) - Total"
"India,37.2,38.7,37.9,68.0,70.7,69.3,61.5,62.6,62.0,48.7,50.5,49.6"
"Andaman & Nicobar Islands,61.0,59.0,60.0,70.4,69.8,70.1,65.4,65.4,65.4,67.2,73.7,70.2"
"Andhra Pradesh,42.3,41.7,42.0,71.5,69.9,70.7,69.4,64.6,67.0,52.9,53.4,53.1"
"Arunachal Pradesh,53.7,56.0,54.8,62.2,65.4,63.7,50.6,55.2,52.9,41.3,44.9,43.1"
"Assam,44.1,46.7,45.4,71.2,76.5,73.7,59.4,66.7,63.0,38.4,45.8,42.0"
"Bihar,25.1,26.8,25.9,66.5,73.6,69.8,51.0,57.3,54.0,31.1,36.8,33.8"
"Chandigarh,62.7,63.9,63.2,87.5,94.1,90.5,88.4,97.7,92.4,89.5,100.0,94.9"
"Chhattisgarh,38.8,39.0,38.9,79.7,83.3,81.3,71.3,70.8,70.5,50.1,58.0,54.0"
"Dadra & Nagar Haveli and Daman & Diu,47.0,46.1,46.6,87.0,90.2,88.5,85.1,89.7,87.2,55.5,76.5,64.1"
"Delhi,48.7,53.1,50.7,81.1,83.3,82.1,82.8,84.7,83.7,74.1,76.9,75.4"
"Goa,71.2,68.0,69.6,99.9,100.0,100.0,89.4,93.2,91.2,82.0,90.0,85.7"
"Gujarat,34.4,36.1,35.2,71.2,73.4,72.2,68.1,67.6,67.8,44.4,43.0,43.8"
"Haryana,34.4,34.9,34.6,71.0,68.0,69.6,71.7,67.7,69.9,61.8,60.1,61.0"
"Himachal Pradesh,58.5,58.5,58.5,67.5,67.1,67.3,62.8,61.9,62.4,63.4,64.2,63.8"
"Jammu & Kashmir,80.0,78.7,79.4,59.6,59.7,59.6,43.1,44.8,43.9,37.7,38.3,38.0"
"Jharkhand,32.6,32.5,32.6,66.3,69.4,67.8,59.4,61.1,60.2,36.2,39.4,37.8"
"Karnataka,46.1,46.2,46.1,89.0,89.2,89.1,86.2,84.4,85.3,63.3,53.6,65.3"
"Kerala,51.7,51.6,51.7,81.6,80.5,81.1,79.8,79.0,79.4,77.0,78.6,77.8"
"Ladakh,80.2,73.5,76.9,72.9,76.6,74.7,56.4,68.9,62.2,46.3,67.5,49.8"
"Lakshadweep,59.4,57.5,58.5,84.8,79.5,82.2,72.3,65.3,68.7,62.9,65.1,64.0"
"Madhya Pradesh,31.4,33.3,32.3,54.9,58.0,56.3,58.5,61.0,59.6,42.9,43.9,43.3"
"Maharashtra,38.9,41.5,40.1,78.2,81.4,79.7,71.9,69.4,70.7,60.0,59.0,59.5"
"Manipur,70.5,72.8,71.6,82.1,84.8,83.4,58.0,59.9,59.0,52.6,53.6,53.1"
"Meghalaya,96.8,100.0,98.8,87.8,97.8,92.7,63.7,77.8,70.6,37.9,52.5,45.1"
"Mizoram,78.8,81.9,80.3,87.5,91.9,89.6,78.2,83.5,80.8,55.6,64.5,60.0"
"Nagaland,66.6,69.4,68.0,60.8,63.6,62.1,46.7,52.0,49.2,34.9,41.6,38.1"
"Odisha,33.4,33.1,33.3,72.5,71.3,71.9,66.4,65.4,65.9,47.6,49.5,48.5"
"Puducherry,63.3,60.6,61.9,65.6,64.7,65.1,63.2,65.2,64.2,64.8,74.3,69.3"
"Punjab,67.6,68.0,67.8,79.9,78.1,79.0,74.6,73.7,74.2,65.5,65.8,65.6"
"Rajasthan,44.5,44.5,44.5,69.1,70.5,69.7,65.5,63.0,64.3,54.6,50.5,52.6"
"Sikkim,76.7,76.1,76.4,69.3,67.5,68.5,54.3,54.7,54.5,50.5,58.1,54.3"
"Telangana,51.0,51.5,51.3,58.4,58.2,58.3,57.9,56.4,57.2,55.4,59.7,57.5"
"Tamil Nadu,46.8,47.7,47.2,78.6,78.3,78.4,76.4,73.8,75.1,62.8,62.8,62.8"
"Tripura,47.6,48.9,48.2,97.1,100.0,99.4,74.5,79.5,76.9,55.2,62.1,58.6"
"Uttar Pradesh,25.4,27.2,26.2,56.3,60.6,58.3,44.3,46.9,45.5,41.3,39.8,40.6"
"Uttarakhand,44.8,47.1,45.9,75.1,77.9,76.4,68.2,69.5,68.8,61.8,64.3,63.0"
"West Bengal,52.6,53.9,53.3,76.9,77.9,77.4,70.1,70.7,70.4,53.7,62.7,58.1"
