"State/UT,Retention Rate - Foundational - Boys,Retention Rate - Foundational - Girls,Retention Rate - Foundational - Total,Retention Rate - Preparatory - Boys,Retention Rate - Preparatory - Girls,Retention Rate - Preparatory - Total,Retention Rate - Middle - Boys,Retention Rate - Middle - Girls,Retention Rate - Middle - Total,Retention Rate - Secondary - Boys,Retention Rate - Secondary - Girls,Retention Rate - Secondary - Total"
"India,98.8,92.4,92.1,98.7,91.2,90.9,75.2,76.4,75.8,43.2,45.1,44.1"
"Andaman & Nicobar Islands,91.9,100.0,100.0,95.4,95.9,95.6,91.9,91.3,91.6,99.9,95.3,97.7"
"Andhra Pradesh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.2,62.1,59.1"
"Assam,66.8,68.9,67.8,57.3,59.7,58.4,39.8,44.9,42.2,24.3,28.7,26.4"
"Bihar,85.8,85.8,85.8,77.3,80.0,78.6,61.6,70.8,66.1,35.0,40.3,37.6"
"Chhattisgarh,94.1,96.4,95.2,100.0,100.0,100.0,63.2,67.1,65.1,18.6,21.2,19.8"
"Chandigarh,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0"
"Dadra & Nagar Haveli and Daman & Diu,90.7,91.3,91.0,91.5,93.0,92.2,80.8,84.1,82.4,39.0,51.5,45.0"
"Delhi,100.0,100.0,100.0,97.8,97.3,97.6,97.0,98.5,97.7,58.2,71.9,64.7"
"Goa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.5,100.0,100.0"
"Gujarat,100.0,100.0,100.0,96.5,95.9,96.2,92.0,94.9,93.4,75.6,82.7,79.0"
"Haryana,100.0,100.0,100.0,96.6,95.6,96.1,90.8,89.3,90.1,44.1,43.4,43.8"
"Himachal Pradesh,100.0,99.1,99.7,100.0,100.0,100.0,100.0,100.0,100.0,90.1,87.1,88.7"
"Jammu & Kashmir,99.4,99.8,99.6,95.1,95.7,95.4,94.8,94.3,94.6,94.0,95.4,94.6"
"Jharkhand,85.7,84.7,85.2,81.5,80.1,80.8,64.0,63.2,63.6,48.4,48.3,48.3"
"Karnataka,85.2,85.7,85.4,76.8,79.6,78.1,62.4,66.4,64.3,20.4,22.5,21.4"
"Kerala,98.9,99.1,99.0,96.2,99.6,96.9,92.9,90.3,90.2,50.2,58.4,54.1"
"Ladakh,95.0,95.5,95.2,99.2,99.6,99.4,98.8,99.4,99.1,100.0,100.0,100.0"
"Lakshadweep,89.1,87.2,88.2,78.2,80.1,79.1,72.0,77.7,74.9,56.0,63.0,59.5"
"Madhya Pradesh,97.3,97.8,97.5,100.0,100.0,100.0,99.4,100.0,100.0,74.7,85.4,79.9"
"Maharashtra,90.3,90.8,90.5,88.5,88.4,88.5,78.0,79.6,78.7,33.1,33.0,33.0"
"Manipur,80.6,82.2,81.4,66.0,64.5,65.5,62.0,61.2,61.6,43.2,42.8,43.0"
"Meghalaya,73.3,73.4,73.4,55.6,61.3,58.4,41.7,51.7,46.6,15.6,22.5,19.0"
"Mizoram,70.2,71.8,71.0,63.3,65.6,64.4,53.7,57.5,55.5,31.6,42.3,36.7"
"Nagaland,85.5,85.1,85.3,70.6,73.7,72.1,54.7,61.0,57.7,24.8,31.7,28.1"
"Odisha,100.0,100.0,100.0,100.0,100.0,100.0,82.1,82.7,82.4,40.0,44.4,42.1"
"Puducherry,96.8,95.8,96.3,97.2,94.3,95.8,95.9,96.1,96.0,79.1,90.0,84.4"
"Punjab,95.2,95.7,95.4,100.0,100.0,100.0,84.7,87.1,85.8,66.3,68.9,67.4"
"Rajasthan,92.8,94.6,93.6,85.1,85.8,85.5,67.4,68.4,67.9,55.5,52.5,54.1"
"Sikkim,92.2,95.2,93.6,92.2,97.9,92.8,79.0,89.1,83.6,49.7,66.3,57.7"
"Tamil Nadu,95.8,96.2,96.0,97.8,97.9,97.9,93.8,93.5,93.7,64.9,71.8,68.3"
"Telangana,95.6,98.5,97.0,100.0,100.0,100.0,76.7,78.5,77.6,62.4,63.2,62.8"
"Tripura,100.0,100.0,100.0,92.0,91.9,92.0,80.1,85.2,82.6,46.3,52.5,49.3"
"Uttar Pradesh,81.8,82.0,81.9,81.3,81.4,81.3,58.1,57.9,58.0,37.0,32.7,34.9"
"Uttarakhand,91.7,92.1,91.9,87.5,87.9,87.7,76.4,78.4,77.3,74.3,76.2,75.2"
"West Bengal,90.1,90.5,90.3,77.1,78.5,77.8,81.3,84.3,82.8,34.6,49.3,41.8"
