"State/UT,Total Schools - All management,Total Schools - Govt.,Total Schools - Pvt. aided,Total Schools - Pvt. unaided,Total Schools - Others,Schools with internet facility - All management,Schools with internet facility - Govt.,Schools with internet facility - Pvt. aided,Schools with internet facility - Pvt. unaided,Schools with internet facility - Others,% of Schools with internet facility - All management,% of Schools with internet facility - Govt.,% of Schools with internet facility - Pvt. aided,% of Schools with internet facility - Pvt. unaided,% of Schools with internet facility - Others"
"India,1471473,1013322,79349,339583,39219,933987,536415,58233,261882,20257,63.5,58.6,73.4,77.1,51.7"
"Andaman & Nicobar Islands,408,335,2,71,0,264,198,2,64,0,64.7,59.1,100.00,90.1,0.00"
"Andhra Pradesh,61317,44886,838,15473,120,60731,44311,834,15466,120,99.00,98.7,99.5,100.00,100.00"
"Arunachal Pradesh,3229,2558,72,571,28,1086,620,49,405,12,33.6,24.2,68.1,70.9,42.9"
"Assam,55263,44741,1587,6480,2475,48201,43874,377,3545,405,87.2,98.1,23.8,54.7,16.4"
"Bihar,94339,76320,712,11274,6033,80035,64658,542,10100,4735,84.8,84.7,76.1,89.6,78.5"
"Chandigarh,207,118,7,82,0,207,118,7,82,0,100.00,100.00,100.00,100.00,0.00"
"Chhattisgarh,56802,48827,413,7382,180,36511,30439,280,5707,85,64.3,62.3,67.8,77.3,47.2"
"Dadra & Nagar Haveli and Daman & Diu,433,361,8,63,1,431,360,8,62,1,99.5,99.7,100.00,98.4,100.00"
"Delhi,5556,2681,238,2637,0,5556,2681,238,2637,0,100.00,100.00,100.00,100.00,0.00"
"Goa,1479,780,558,141,0,1379,695,546,138,0,93.2,89.1,97.8,97.9,0.00"
"Gujarat,53355,34638,5522,13190,5,51514,33726,5100,12683,5,96.5,97.4,92.4,96.2,100.00"
"Haryana,23494,14338,4,8499,653,18539,9930,3,8032,574,78.9,69.3,75.00,94.5,87.9"
"Himachal Pradesh,17330,14725,0,2603,2,11011,8707,0,2303,1,63.5,59.1,0.00,88.5,50.00"
"Jammu & Kashmir,24192,18785,1,5359,47,11883,7999,1,3850,33,49.1,42.6,100.00,71.8,70.2"
"Jharkhand,44376,35788,1155,1707,5726,25713,19956,558,1444,3757,57.9,55.8,48.3,84.6,65.6"
"Karnataka,74859,48844,6905,19105,5,37921,17712,4264,15942,3,50.7,36.3,61.8,83.4,60.00"
"Kerala,15757,4808,7164,3018,767,14442,4287,6468,2983,704,91.7,89.2,90.3,98.8,91.8"
"Ladakh,961,812,38,111,0,488,391,24,73,0,50.8,48.2,63.2,65.8,0.00"
"Lakshadweep,36,36,0,0,0,36,36,0,0,0,100.00,100.00,0.00,0.00,0.00"
"Madhya Pradesh,122120,92250,550,28212,1108,55865,32568,276,22465,556,45.7,35.3,50.2,79.6,50.2"
"Maharashtra,108250,64846,24406,18746,214,78084,39265,21093,17533,193,72.1,60.5,86.4,93.5,90.2"
"Manipur,4666,2952,585,1030,99,1709,764,119,784,42,36.6,25.9,20.3,76.1,42.4"
"Meghalaya,14587,7789,4172,2135,491,3858,1937,1151,657,113,26.4,24.9,27.6,30.8,23.00"
"Mizoram,3974,2617,232,1068,57,1622,980,151,735,47,64.9,62.9,65.1,68.8,82.5"
"Nagaland,2750,1926,0,814,0,1622,980,0,642,0,59.00,50.6,0.00,78.6,0.00"
"Odisha,61565,48625,5868,6107,965,51588,40335,5025,5412,816,83.8,83.00,85.6,88.6,84.6"
"Puducherry,763,419,33,311,0,760,419,33,308,0,99.6,100.00,100.00,99.00,0.00"
"Punjab,27281,19243,437,7589,12,24249,16711,400,7131,7,88.9,86.8,91.5,94.00,58.3"
"Rajasthan,106302,70155,0,33548,2599,74358,45263,0,28187,908,69.9,64.5,0.00,84.00,34.9"
"Sikkim,1245,857,16,372,0,643,383,5,255,0,51.6,44.7,31.3,68.5,0.00"
"Tamil Nadu,57935,37626,8254,11890,165,49211,32297,5297,11457,160,84.9,85.8,64.2,96.4,97.00"
"Telangana,43154,30057,579,12474,44,20309,15902,257,11138,12,63.3,52.9,44.4,89.3,27.3"
"Tripura,4943,4187,42,485,229,1702,189,18,319,20,41.7,40.6,42.9,65.8,8.7"
"Uttar Pradesh,262358,137172,8262,104508,12416,120465,48897,4592,61827,5149,45.9,35.6,55.6,59.2,41.5"
"Uttarakhand,22452,16018,615,5352,467,16236,10700,463,4660,413,72.3,66.8,75.3,87.1,87.7"
"West Bengal,93715,82154,74,7176,4311,17441,13147,52,2856,1386,18.6,16.00,70.3,39.8,32.2"
