state_ut,variable,value,level,category
India,total_schools_all_management,1551000,total,schools
Andaman and Nicobar Islands,total_schools_all_management,414,total,schools
Andhra Pradesh,total_schools_all_management,63621,total,schools
Arunachal Pradesh,total_schools_all_management,3793,total,schools
Assam,total_schools_all_management,66324,total,schools
Bihar,total_schools_all_management,89224,total,schools
Chandigarh,total_schools_all_management,229,total,schools
Chhattisgarh,total_schools_all_management,56274,total,schools
Dadra and Nagar Haveli,total_schools_all_management,346,total,schools
Daman and Diu,total_schools_all_management,140,total,schools
Delhi,total_schools_all_management,5703,total,schools
Goa,total_schools_all_management,1486,total,schools
Gujarat,total_schools_all_management,54581,total,schools
Haryana,total_schools_all_management,23554,total,schools
Himachal Pradesh,total_schools_all_management,18212,total,schools
Jammu and Kashmir,total_schools_all_management,28654,total,schools
Jharkhand,total_schools_all_management,45908,total,schools
Karnataka,total_schools_all_management,78233,total,schools
Kerala,total_schools_all_management,16701,total,schools
Ladakh,total_schools_all_management,1054,total,schools
Lakshadweep,total_schools_all_management,45,total,schools
Madhya Pradesh,total_schools_all_management,154064,total,schools
Maharashtra,total_schools_all_management,109942,total,schools
Manipur,total_schools_all_management,4844,total,schools
Meghalaya,total_schools_all_management,14669,total,schools
Mizoram,total_schools_all_management,3913,total,schools
Nagaland,total_schools_all_management,2752,total,schools
Odisha,total_schools_all_management,68717,total,schools
Puducherry,total_schools_all_management,739,total,schools
Punjab,total_schools_all_management,28637,total,schools
Rajasthan,total_schools_all_management,105883,total,schools
Sikkim,total_schools_all_management,1290,total,schools
Tamil Nadu,total_schools_all_management,59152,total,schools
Telangana,total_schools_all_management,42355,total,schools
Tripura,total_schools_all_management,4945,total,schools
Uttar Pradesh,total_schools_all_management,273235,total,schools
Uttarakhand,total_schools_all_management,23559,total,schools
West Bengal,total_schools_all_management,97828,total,schools
India,total_schools_govt_,1083747,total,schools
Andaman and Nicobar Islands,total_schools_govt_,339,total,schools
Andhra Pradesh,total_schools_govt_,45013,total,schools
Arunachal Pradesh,total_schools_govt_,3179,total,schools
Assam,total_schools_govt_,47223,total,schools
Bihar,total_schools_govt_,72630,total,schools
Chandigarh,total_schools_govt_,121,total,schools
Chhattisgarh,total_schools_govt_,48671,total,schools
Dadra and Nagar Haveli,total_schools_govt_,300,total,schools
Daman and Diu,total_schools_govt_,112,total,schools
