state_ut,variable,value,level,category
India,ner_primary_1_to_5_boys,88.5,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_boys,71.4,ner,primary
Andhra Pradesh,ner_primary_1_to_5_boys,82.7,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_boys,86.3,ner,primary
Assam,ner_primary_1_to_5_boys,100.0,ner,primary
Bihar,ner_primary_1_to_5_boys,86.7,ner,primary
Chandigarh,ner_primary_1_to_5_boys,74.1,ner,primary
Chhattisgarh,ner_primary_1_to_5_boys,89.2,ner,primary
Dadra and Nagar Haveli,ner_primary_1_to_5_boys,76.4,ner,primary
Daman and Diu,ner_primary_1_to_5_boys,88.9,ner,primary
Delhi,ner_primary_1_to_5_boys,100.0,ner,primary
Goa,ner_primary_1_to_5_boys,88.7,ner,primary
Gujarat,ner_primary_1_to_5_boys,80.8,ner,primary
Haryana,ner_primary_1_to_5_boys,84.7,ner,primary
Himachal Pradesh,ner_primary_1_to_5_boys,89.8,ner,primary
Jammu and Kashmir,ner_primary_1_to_5_boys,67.4,ner,primary
Jharkhand,ner_primary_1_to_5_boys,95.1,ner,primary
Karnataka,ner_primary_1_to_5_boys,98.3,ner,primary
Kerala,ner_primary_1_to_5_boys,88.3,ner,primary
Ladakh,ner_primary_1_to_5_boys,Null,ner,primary
Lakshadweep,ner_primary_1_to_5_boys,73.7,ner,primary
Madhya Pradesh,ner_primary_1_to_5_boys,79.3,ner,primary
Maharashtra,ner_primary_1_to_5_boys,94.2,ner,primary
Manipur,ner_primary_1_to_5_boys,100.0,ner,primary
Meghalaya,ner_primary_1_to_5_boys,100.0,ner,primary
Mizoram,ner_primary_1_to_5_boys,100.0,ner,primary
Nagaland,ner_primary_1_to_5_boys,73.5,ner,primary
Odisha,ner_primary_1_to_5_boys,76.0,ner,primary
Puducherry,ner_primary_1_to_5_boys,73.6,ner,primary
Punjab,ner_primary_1_to_5_boys,76.9,ner,primary
Rajasthan,ner_primary_1_to_5_boys,85.7,ner,primary
Sikkim,ner_primary_1_to_5_boys,78.3,ner,primary
Tamil Nadu,ner_primary_1_to_5_boys,89.2,ner,primary
Telangana,ner_primary_1_to_5_boys,91.7,ner,primary
Tripura,ner_primary_1_to_5_boys,100.0,ner,primary
Uttar Pradesh,ner_primary_1_to_5_boys,88.3,ner,primary
Uttarakhand,ner_primary_1_to_5_boys,94.6,ner,primary
West Bengal,ner_primary_1_to_5_boys,100.0,ner,primary
India,ner_primary_1_to_5_girls,89.8,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_girls,74.4,ner,primary
Andhra Pradesh,ner_primary_1_to_5_girls,77.4,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_girls,86.6,ner,primary
Assam,ner_primary_1_to_5_girls,100.0,ner,primary
Bihar,ner_primary_1_to_5_girls,89.8,ner,primary
Chandigarh,ner_primary_1_to_5_girls,82.0,ner,primary
Chhattisgarh,ner_primary_1_to_5_girls,89.2,ner,primary
Dadra and Nagar Haveli,ner_primary_1_to_5_girls,79.9,ner,primary
Daman and Diu,ner_primary_1_to_5_girls,92.3,ner,primary
Delhi,ner_primary_1_to_5_girls,100.0,ner,primary
Goa,ner_primary_1_to_5_girls,93.5,ner,primary
Gujarat,ner_primary_1_to_5_girls,82.9,ner,primary
Haryana,ner_primary_1_to_5_girls,83.2,ner,primary
Himachal Pradesh,ner_primary_1_to_5_girls,91.5,ner,primary
Jammu and Kashmir,ner_primary_1_to_5_girls,70.5,ner,primary
Jharkhand,ner_primary_1_to_5_girls,93.9,ner,primary
Karnataka,ner_primary_1_to_5_girls,96.2,ner,primary
Kerala,ner_primary_1_to_5_girls,88.1,ner,primary
Ladakh,ner_primary_1_to_5_girls,Null,ner,primary
Lakshadweep,ner_primary_1_to_5_girls,75.4,ner,primary
Madhya Pradesh,ner_primary_1_to_5_girls,78.6,ner,primary
Maharashtra,ner_primary_1_to_5_girls,94.3,ner,primary
Manipur,ner_primary_1_to_5_girls,100.0,ner,primary
Meghalaya,ner_primary_1_to_5_girls,100.0,ner,primary
Mizoram,ner_primary_1_to_5_girls,100.0,ner,primary
Nagaland,ner_primary_1_to_5_girls,75.5,ner,primary
Odisha,ner_primary_1_to_5_girls,76.1,ner,primary
Puducherry,ner_primary_1_to_5_girls,75.7,ner,primary
Punjab,ner_primary_1_to_5_girls,80.9,ner,primary
Rajasthan,ner_primary_1_to_5_girls,85.7,ner,primary
Sikkim,ner_primary_1_to_5_girls,75.9,ner,primary
Tamil Nadu,ner_primary_1_to_5_girls,89.9,ner,primary
Telangana,ner_primary_1_to_5_girls,91.1,ner,primary
Tripura,ner_primary_1_to_5_girls,100.0,ner,primary
Uttar Pradesh,ner_primary_1_to_5_girls,92.3,ner,primary
Uttarakhand,ner_primary_1_to_5_girls,95.9,ner,primary
West Bengal,ner_primary_1_to_5_girls,100.0,ner,primary
India,ner_primary_1_to_5_total,89.1,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_total,72.8,ner,primary
Andhra Pradesh,ner_primary_1_to_5_total,80.1,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_total,86.5,ner,primary
Assam,ner_primary_1_to_5_total,100.0,ner,primary
Bihar,ner_primary_1_to_5_total,88.2,ner,primary
Chandigarh,ner_primary_1_to_5_total,77.6,ner,primary
Chhattisgarh,ner_primary_1_to_5_total,89.2,ner,primary
Dadra and Nagar Haveli,ner_primary_1_to_5_total,78.0,ner,primary
Daman and Diu,ner_primary_1_to_5_total,90.5,ner,primary
Delhi,ner_primary_1_to_5_total,100.0,ner,primary
Goa,ner_primary_1_to_5_total,91.0,ner,primary
Gujarat,ner_primary_1_to_5_total,81.8,ner,primary
Haryana,ner_primary_1_to_5_total,84.1,ner,primary
Himachal Pradesh,ner_primary_1_to_5_total,90.6,ner,primary
Jammu and Kashmir,ner_primary_1_to_5_total,68.8,ner,primary
Jharkhand,ner_primary_1_to_5_total,94.5,ner,primary
Karnataka,ner_primary_1_to_5_total,97.3,ner,primary
Kerala,ner_primary_1_to_5_total,88.2,ner,primary
Ladakh,ner_primary_1_to_5_total,Null,ner,primary
Lakshadweep,ner_primary_1_to_5_total,74.5,ner,primary
Madhya Pradesh,ner_primary_1_to_5_total,79.0,ner,primary
Maharashtra,ner_primary_1_to_5_total,94.2,ner,primary
Manipur,ner_primary_1_to_5_total,100.0,ner,primary
Meghalaya,ner_primary_1_to_5_total,100.0,ner,primary
Mizoram,ner_primary_1_to_5_total,100.0,ner,primary
Nagaland,ner_primary_1_to_5_total,74.4,ner,primary
Odisha,ner_primary_1_to_5_total,76.1,ner,primary
Puducherry,ner_primary_1_to_5_total,74.6,ner,primary
Punjab,ner_primary_1_to_5_total,78.8,ner,primary
Rajasthan,ner_primary_1_to_5_total,85.7,ner,primary
Sikkim,ner_primary_1_to_5_total,77.1,ner,primary
Tamil Nadu,ner_primary_1_to_5_total,89.6,ner,primary
Telangana,ner_primary_1_to_5_total,91.4,ner,primary
Tripura,ner_primary_1_to_5_total,100.0,ner,primary
Uttar Pradesh,ner_primary_1_to_5_total,90.2,ner,primary
Uttarakhand,ner_primary_1_to_5_total,95.3,ner,primary
West Bengal,ner_primary_1_to_5_total,100.0,ner,primary
