state_ut,variable,value,level,category
India,total_schools_all_management,1507708,total,schools
Andaman and Nicobar Islands,total_schools_all_management,418,total,schools
Andhra Pradesh,total_schools_all_management,63824,total,schools
Arunachal Pradesh,total_schools_all_management,3666,total,schools
Assam,total_schools_all_management,65907,total,schools
Bihar,total_schools_all_management,90275,total,schools
Chandigarh,total_schools_all_management,229,total,schools
Chhattisgarh,total_schools_all_management,56303,total,schools
Dadra and Nagar Haveli,total_schools_all_management,346,total,schools
Daman and Diu,total_schools_all_management,137,total,schools
Delhi,total_schools_all_management,5669,total,schools
Goa,total_schools_all_management,1482,total,schools
Gujarat,total_schools_all_management,54629,total,schools
Haryana,total_schools_all_management,23699,total,schools
Himachal Pradesh,total_schools_all_management,18185,total,schools
Jammu and Kashmir,total_schools_all_management,28863,total,schools
Jharkhand,total_schools_all_management,45596,total,schools
Karnataka,total_schools_all_management,77166,total,schools
Kerala,total_schools_all_management,16665,total,schools
Ladakh,total_schools_all_management,1054,total,schools
Lakshadweep,total_schools_all_management,45,total,schools
Madhya Pradesh,total_schools_all_management,133379,total,schools
Maharashtra,total_schools_all_management,110229,total,schools
Manipur,total_schools_all_management,4663,total,schools
Meghalaya,total_schools_all_management,14730,total,schools
Mizoram,total_schools_all_management,3924,total,schools
Nagaland,total_schools_all_management,2758,total,schools
Odisha,total_schools_all_management,67020,total,schools
Puducherry,total_schools_all_management,741,total,schools
Punjab,total_schools_all_management,28775,total,schools
Rajasthan,total_schools_all_management,106240,total,schools
Sikkim,total_schools_all_management,1277,total,schools
Tamil Nadu,total_schools_all_management,58897,total,schools
Telangana,total_schools_all_management,42575,total,schools
Tripura,total_schools_all_management,4940,total,schools
Uttar Pradesh,total_schools_all_management,254352,total,schools
Uttarakhand,total_schools_all_management,23295,total,schools
West Bengal,total_schools_all_management,95755,total,schools
India,total_schools_govt_,1032570,total,schools
Andaman and Nicobar Islands,total_schools_govt_,342,total,schools
Andhra Pradesh,total_schools_govt_,49115,total,schools
Arunachal Pradesh,total_schools_govt_,3056,total,schools
Assam,total_schools_govt_,47157,total,schools
Bihar,total_schools_govt_,72610,total,schools
Chandigarh,total_schools_govt_,121,total,schools
Chhattisgarh,total_schools_govt_,48547,total,schools
Dadra and Nagar Haveli,total_schools_govt_,300,total,schools
Daman and Diu,total_schools_govt_,109,total,schools
Delhi,total_schools_govt_,2767,total,schools
Goa,total_schools_govt_,827,total,schools
Gujarat,total_schools_govt_,35040,total,schools
Haryana,total_schools_govt_,14484,total,schools
Himachal Pradesh,total_schools_govt_,15398,total,schools
Jammu and Kashmir,total_schools_govt_,23165,total,schools
Jharkhand,total_schools_govt_,35931,total,schools
Karnataka,total_schools_govt_,49834,total,schools
Kerala,total_schools_govt_,5014,total,schools
Ladakh,total_schools_govt_,913,total,schools
Lakshadweep,total_schools_govt_,45,total,schools
Madhya Pradesh,total_schools_govt_,99411,total,schools
Maharashtra,total_schools_govt_,65886,total,schools
Manipur,total_schools_govt_,2876,total,schools
Meghalaya,total_schools_govt_,7799,total,schools
Mizoram,total_schools_govt_,2552,total,schools
Nagaland,total_schools_govt_,2011,total,schools
Odisha,total_schools_govt_,53260,total,schools
Puducherry,total_schools_govt_,422,total,schools
Punjab,total_schools_govt_,19377,total,schools
Rajasthan,total_schools_govt_,67660,total,schools
Sikkim,total_schools_govt_,851,total,schools
Tamil Nadu,total_schools_govt_,37979,total,schools
Telangana,total_schools_govt_,30001,total,schools
Tripura,total_schools_govt_,4275,total,schools
Uttar Pradesh,total_schools_govt_,137638,total,schools
Uttarakhand,total_schools_govt_,16741,total,schools
West Bengal,total_schools_govt_,83456,total,schools
India,total_schools_pvt_aided,84362,total,schools
Andaman and Nicobar Islands,total_schools_pvt_aided,2,total,schools
Andhra Pradesh,total_schools_pvt_aided,2234,total,schools
Arunachal Pradesh,total_schools_pvt_aided,65,total,schools
Assam,total_schools_pvt_aided,5024,total,schools
Bihar,total_schools_pvt_aided,721,total,schools
Chandigarh,total_schools_pvt_aided,7,total,schools
Chhattisgarh,total_schools_pvt_aided,431,total,schools
Dadra and Nagar Haveli,total_schools_pvt_aided,4,total,schools
Daman and Diu,total_schools_pvt_aided,4,total,schools
Delhi,total_schools_pvt_aided,250,total,schools
Goa,total_schools_pvt_aided,517,total,schools
Gujarat,total_schools_pvt_aided,5688,total,schools
Haryana,total_schools_pvt_aided,17,total,schools
Himachal Pradesh,total_schools_pvt_aided,0,total,schools
Jammu and Kashmir,total_schools_pvt_aided,1,total,schools
Jharkhand,total_schools_pvt_aided,1173,total,schools
Karnataka,total_schools_pvt_aided,7244,total,schools
Kerala,total_schools_pvt_aided,7193,total,schools
Ladakh,total_schools_pvt_aided,29,total,schools
Lakshadweep,total_schools_pvt_aided,0,total,schools
Madhya Pradesh,total_schools_pvt_aided,790,total,schools
Maharashtra,total_schools_pvt_aided,23791,total,schools
Manipur,total_schools_pvt_aided,585,total,schools
Meghalaya,total_schools_pvt_aided,4180,total,schools
Mizoram,total_schools_pvt_aided,231,total,schools
Nagaland,total_schools_pvt_aided,0,total,schools
Odisha,total_schools_pvt_aided,5839,total,schools
Puducherry,total_schools_pvt_aided,33,total,schools
Punjab,total_schools_pvt_aided,457,total,schools
Rajasthan,total_schools_pvt_aided,0,total,schools
Sikkim,total_schools_pvt_aided,19,total,schools
