state_ut,variable,value,level,category
India,total_schools_all_management,1509136,total,schools
Andaman and Nicobar Islands,total_schools_all_management,417,total,schools
Andhra Pradesh,total_schools_all_management,63343,total,schools
Arunachal Pradesh,total_schools_all_management,3675,total,schools
Assam,total_schools_all_management,65203,total,schools
Bihar,total_schools_all_management,93459,total,schools
Chandigarh,total_schools_all_management,230,total,schools
Chhattisgarh,total_schools_all_management,56494,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_all_management,479,total,schools
Delhi,total_schools_all_management,5642,total,schools
Goa,total_schools_all_management,1481,total,schools
Gujarat,total_schools_all_management,54444,total,schools
Haryana,total_schools_all_management,23764,total,schools
Himachal Pradesh,total_schools_all_management,18145,total,schools
Jammu and Kashmir,total_schools_all_management,28930,total,schools
Jharkhand,total_schools_all_management,45319,total,schools
Karnataka,total_schools_all_management,76905,total,schools
Kerala,total_schools_all_management,16481,total,schools
Ladakh,total_schools_all_management,1056,total,schools
Lakshadweep,total_schools_all_management,45,total,schools
Madhya Pradesh,total_schools_all_management,133271,total,schools
Maharashtra,total_schools_all_management,110114,total,schools
Manipur,total_schools_all_management,4653,total,schools
Meghalaya,total_schools_all_management,14694,total,schools
Mizoram,total_schools_all_management,3925,total,schools
Nagaland,total_schools_all_management,2719,total,schools
Odisha,total_schools_all_management,64185,total,schools
Puducherry,total_schools_all_management,741,total,schools
Punjab,total_schools_all_management,28695,total,schools
Rajasthan,total_schools_all_management,107376,total,schools
Sikkim,total_schools_all_management,1263,total,schools
Tamil Nadu,total_schools_all_management,58904,total,schools
Telangana,total_schools_all_management,42917,total,schools
Tripura,total_schools_all_management,4934,total,schools
Uttar Pradesh,total_schools_all_management,256911,total,schools
Uttarakhand,total_schools_all_management,23169,total,schools
West Bengal,total_schools_all_management,95153,total,schools
India,total_schools_govt_,1032049,total,schools
Andaman and Nicobar Islands,total_schools_govt_,342,total,schools
Andhra Pradesh,total_schools_govt_,45145,total,schools
Arunachal Pradesh,total_schools_govt_,3061,total,schools
Assam,total_schools_govt_,46749,total,schools
Bihar,total_schools_govt_,75555,total,schools
Chandigarh,total_schools_govt_,121,total,schools
Chhattisgarh,total_schools_govt_,48619,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_govt_,407,total,schools
Delhi,total_schools_govt_,2751,total,schools
Goa,total_schools_govt_,821,total,schools
Gujarat,total_schools_govt_,34967,total,schools
Haryana,total_schools_govt_,14563,total,schools
Himachal Pradesh,total_schools_govt_,15391,total,schools
Jammu and Kashmir,total_schools_govt_,23167,total,schools
Jharkhand,total_schools_govt_,35888,total,schools
Karnataka,total_schools_govt_,49791,total,schools
Kerala,total_schools_govt_,5020,total,schools
Ladakh,total_schools_govt_,915,total,schools
Lakshadweep,total_schools_govt_,45,total,schools
Madhya Pradesh,total_schools_govt_,99152,total,schools
Maharashtra,total_schools_govt_,65734,total,schools
Manipur,total_schools_govt_,2878,total,schools
Meghalaya,total_schools_govt_,7795,total,schools
Mizoram,total_schools_govt_,2558,total,schools
Nagaland,total_schools_govt_,1975,total,schools
Odisha,total_schools_govt_,50256,total,schools
Puducherry,total_schools_govt_,422,total,schools
Punjab,total_schools_govt_,19330,total,schools
Rajasthan,total_schools_govt_,68813,total,schools
Sikkim,total_schools_govt_,851,total,schools
Tamil Nadu,total_schools_govt_,37589,total,schools
Telangana,total_schools_govt_,30015,total,schools
Tripura,total_schools_govt_,4265,total,schools
Uttar Pradesh,total_schools_govt_,137068,total,schools
Uttarakhand,total_schools_govt_,16651,total,schools
West Bengal,total_schools_govt_,83379,total,schools
India,total_schools_pvt_aided,84295,total,schools
Andaman and Nicobar Islands,total_schools_pvt_aided,2,total,schools
Andhra Pradesh,total_schools_pvt_aided,2121,total,schools
Arunachal Pradesh,total_schools_pvt_aided,67,total,schools
Assam,total_schools_pvt_aided,4983,total,schools
Bihar,total_schools_pvt_aided,735,total,schools
Chandigarh,total_schools_pvt_aided,7,total,schools
Chhattisgarh,total_schools_pvt_aided,430,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_pvt_aided,8,total,schools
Delhi,total_schools_pvt_aided,250,total,schools
Goa,total_schools_pvt_aided,522,total,schools
Gujarat,total_schools_pvt_aided,5640,total,schools
Haryana,total_schools_pvt_aided,17,total,schools
Himachal Pradesh,total_schools_pvt_aided,0,total,schools
Jammu and Kashmir,total_schools_pvt_aided,1,total,schools
Jharkhand,total_schools_pvt_aided,1175,total,schools
Karnataka,total_schools_pvt_aided,7182,total,schools
Kerala,total_schools_pvt_aided,7191,total,schools
Ladakh,total_schools_pvt_aided,29,total,schools
Lakshadweep,total_schools_pvt_aided,0,total,schools
Madhya Pradesh,total_schools_pvt_aided,773,total,schools
Maharashtra,total_schools_pvt_aided,23924,total,schools
Manipur,total_schools_pvt_aided,585,total,schools
Meghalaya,total_schools_pvt_aided,4176,total,schools
Mizoram,total_schools_pvt_aided,231,total,schools
Nagaland,total_schools_pvt_aided,0,total,schools
Odisha,total_schools_pvt_aided,5844,total,schools
Puducherry,total_schools_pvt_aided,33,total,schools
Punjab,total_schools_pvt_aided,455,total,schools
Rajasthan,total_schools_pvt_aided,0,total,schools
Sikkim,total_schools_pvt_aided,19,total,schools
Tamil Nadu,total_schools_pvt_aided,8326,total,schools
Telangana,total_schools_pvt_aided,700,total,schools
Tripura,total_schools_pvt_aided,43,total,schools
Uttar Pradesh,total_schools_pvt_aided,8125,total,schools
Uttarakhand,total_schools_pvt_aided,614,total,schools
West Bengal,total_schools_pvt_aided,87,total,schools
India,total_schools_pvt_unaided,340753,total,schools
Andaman and Nicobar Islands,total_schools_pvt_unaided,73,total,schools
Andhra Pradesh,total_schools_pvt_unaided,15792,total,schools
Arunachal Pradesh,total_schools_pvt_unaided,496,total,schools
Assam,total_schools_pvt_unaided,6045,total,schools
Bihar,total_schools_pvt_unaided,7923,total,schools
Chandigarh,total_schools_pvt_unaided,75,total,schools
Chhattisgarh,total_schools_pvt_unaided,7131,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_pvt_unaided,63,total,schools
Delhi,total_schools_pvt_unaided,2641,total,schools
Goa,total_schools_pvt_unaided,138,total,schools
Gujarat,total_schools_pvt_unaided,13834,total,schools
Haryana,total_schools_pvt_unaided,8235,total,schools
Himachal Pradesh,total_schools_pvt_unaided,2753,total,schools
Jammu and Kashmir,total_schools_pvt_unaided,5649,total,schools
Jharkhand,total_schools_pvt_unaided,1542,total,schools
Karnataka,total_schools_pvt_unaided,19915,total,schools
Kerala,total_schools_pvt_unaided,3241,total,schools
Ladakh,total_schools_pvt_unaided,112,total,schools
Lakshadweep,total_schools_pvt_unaided,0,total,schools
Madhya Pradesh,total_schools_pvt_unaided,31512,total,schools
Maharashtra,total_schools_pvt_unaided,19632,total,schools
Manipur,total_schools_pvt_unaided,1027,total,schools
Meghalaya,total_schools_pvt_unaided,2179,total,schools
Mizoram,total_schools_pvt_unaided,1050,total,schools
Nagaland,total_schools_pvt_unaided,743,total,schools
Odisha,total_schools_pvt_unaided,6393,total,schools
Puducherry,total_schools_pvt_unaided,286,total,schools
Punjab,total_schools_pvt_unaided,8893,total,schools
Rajasthan,total_schools_pvt_unaided,36023,total,schools
Sikkim,total_schools_pvt_unaided,393,total,schools
Tamil Nadu,total_schools_pvt_unaided,12402,total,schools
Telangana,total_schools_pvt_unaided,12023,total,schools
Tripura,total_schools_pvt_unaided,360,total,schools
Uttar Pradesh,total_schools_pvt_unaided,96741,total,schools
Uttarakhand,total_schools_pvt_unaided,5396,total,schools
West Bengal,total_schools_pvt_unaided,10042,total,schools
India,total_schools_others,52039,total,schools
Andaman and Nicobar Islands,total_schools_others,0,total,schools
Andhra Pradesh,total_schools_others,285,total,schools
Arunachal Pradesh,total_schools_others,51,total,schools
Assam,total_schools_others,7426,total,schools
Bihar,total_schools_others,9246,total,schools
Chandigarh,total_schools_others,27,total,schools
Chhattisgarh,total_schools_others,314,total,schools
Dadra and Nagar Haveli and Daman and Diu,total_schools_others,1,total,schools
Delhi,total_schools_others,0,total,schools
Goa,total_schools_others,0,total,schools
Gujarat,total_schools_others,3,total,schools
Haryana,total_schools_others,949,total,schools
Himachal Pradesh,total_schools_others,1,total,schools
Jammu and Kashmir,total_schools_others,113,total,schools
Jharkhand,total_schools_others,6714,total,schools
Karnataka,total_schools_others,17,total,schools
Kerala,total_schools_others,1029,total,schools
Ladakh,total_schools_others,0,total,schools
Lakshadweep,total_schools_others,0,total,schools
Madhya Pradesh,total_schools_others,1834,total,schools
Maharashtra,total_schools_others,824,total,schools
Manipur,total_schools_others,163,total,schools
Meghalaya,total_schools_others,544,total,schools
Mizoram,total_schools_others,86,total,schools
Nagaland,total_schools_others,1,total,schools
Odisha,total_schools_others,1692,total,schools
Puducherry,total_schools_others,0,total,schools
Punjab,total_schools_others,17,total,schools
Rajasthan,total_schools_others,2540,total,schools
Sikkim,total_schools_others,0,total,schools
Tamil Nadu,total_schools_others,587,total,schools
Telangana,total_schools_others,179,total,schools
Tripura,total_schools_others,266,total,schools
Uttar Pradesh,total_schools_others,14977,total,schools
Uttarakhand,total_schools_others,508,total,schools
West Bengal,total_schools_others,1645,total,schools
India,schools_with_internet_facility_all_management,369909,schools,with
Andaman and Nicobar Islands,schools_with_internet_facility_all_management,140,schools,with
Andhra Pradesh,schools_with_internet_facility_all_management,14975,schools,with
Arunachal Pradesh,schools_with_internet_facility_all_management,350,schools,with
Assam,schools_with_internet_facility_all_management,4206,schools,with
Bihar,schools_with_internet_facility_all_management,8359,schools,with
Chandigarh,schools_with_internet_facility_all_management,224,schools,with
Chhattisgarh,schools_with_internet_facility_all_management,7922,schools,with
Dadra and Nagar Haveli and Daman and Diu,schools_with_internet_facility_all_management,176,schools,with
Delhi,schools_with_internet_facility_all_management,4917,schools,with
Goa,schools_with_internet_facility_all_management,577,schools,with
Gujarat,schools_with_internet_facility_all_management,40956,schools,with
Haryana,schools_with_internet_facility_all_management,10545,schools,with
Himachal Pradesh,schools_with_internet_facility_all_management,4216,schools,with
Jammu and Kashmir,schools_with_internet_facility_all_management,3740,schools,with
Jharkhand,schools_with_internet_facility_all_management,14723,schools,with
Karnataka,schools_with_internet_facility_all_management,19105,schools,with
Kerala,schools_with_internet_facility_all_management,14670,schools,with
Ladakh,schools_with_internet_facility_all_management,590,schools,with
Lakshadweep,schools_with_internet_facility_all_management,42,schools,with
Madhya Pradesh,schools_with_internet_facility_all_management,20115,schools,with
Maharashtra,schools_with_internet_facility_all_management,40259,schools,with
Manipur,schools_with_internet_facility_all_management,767,schools,with
Meghalaya,schools_with_internet_facility_all_management,645,schools,with
Mizoram,schools_with_internet_facility_all_management,359,schools,with
Nagaland,schools_with_internet_facility_all_management,454,schools,with
Odisha,schools_with_internet_facility_all_management,4660,schools,with
Puducherry,schools_with_internet_facility_all_management,719,schools,with
Punjab,schools_with_internet_facility_all_management,27047,schools,with
Rajasthan,schools_with_internet_facility_all_management,42365,schools,with
Sikkim,schools_with_internet_facility_all_management,267,schools,with
Tamil Nadu,schools_with_internet_facility_all_management,18865,schools,with
Telangana,schools_with_internet_facility_all_management,9665,schools,with
Tripura,schools_with_internet_facility_all_management,274,schools,with
Uttar Pradesh,schools_with_internet_facility_all_management,38838,schools,with
Uttarakhand,schools_with_internet_facility_all_management,4185,schools,with
