state_ut,variable,value,level,category
India,ner_primary_1_to_5_boys,87.3,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_boys,59.8,ner,primary
Andhra Pradesh,ner_primary_1_to_5_boys,83.7,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_boys,98.6,ner,primary
Assam,ner_primary_1_to_5_boys,100.0,ner,primary
Bihar,ner_primary_1_to_5_boys,91.7,ner,primary
Chandigarh,ner_primary_1_to_5_boys,70.3,ner,primary
Chhattisgarh,ner_primary_1_to_5_boys,85.7,ner,primary
Dadra and Nagar Haveli and Daman and Diu,ner_primary_1_to_5_boys,77.4,ner,primary
Delhi,ner_primary_1_to_5_boys,97.5,ner,primary
Goa,ner_primary_1_to_5_boys,77.7,ner,primary
Gujarat,ner_primary_1_to_5_boys,75.1,ner,primary
Haryana,ner_primary_1_to_5_boys,81.7,ner,primary
Himachal Pradesh,ner_primary_1_to_5_boys,86.9,ner,primary
Jammu and Kashmir,ner_primary_1_to_5_boys,85.7,ner,primary
Jharkhand,ner_primary_1_to_5_boys,89.3,ner,primary
Karnataka,ner_primary_1_to_5_boys,95.7,ner,primary
Kerala,ner_primary_1_to_5_boys,86.8,ner,primary
Ladakh,ner_primary_1_to_5_boys,57.5,ner,primary
Lakshadweep,ner_primary_1_to_5_boys,74.1,ner,primary
Madhya Pradesh,ner_primary_1_to_5_boys,70.0,ner,primary
Maharashtra,ner_primary_1_to_5_boys,94.3,ner,primary
Manipur,ner_primary_1_to_5_boys,100.0,ner,primary
Meghalaya,ner_primary_1_to_5_boys,100.0,ner,primary
Mizoram,ner_primary_1_to_5_boys,100.0,ner,primary
Nagaland,ner_primary_1_to_5_boys,80.4,ner,primary
Odisha,ner_primary_1_to_5_boys,82.5,ner,primary
Puducherry,ner_primary_1_to_5_boys,61.4,ner,primary
Punjab,ner_primary_1_to_5_boys,89.3,ner,primary
Rajasthan,ner_primary_1_to_5_boys,82.9,ner,primary
Sikkim,ner_primary_1_to_5_boys,85.9,ner,primary
Tamil Nadu,ner_primary_1_to_5_boys,82.4,ner,primary
Telangana,ner_primary_1_to_5_boys,94.4,ner,primary
Tripura,ner_primary_1_to_5_boys,100.0,ner,primary
Uttarakhand,ner_primary_1_to_5_boys,83.0,ner,primary
Uttar Pradesh,ner_primary_1_to_5_boys,94.8,ner,primary
West Bengal,ner_primary_1_to_5_boys,100.0,ner,primary
India,ner_primary_1_to_5_girls,90.0,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_girls,63.0,ner,primary
Andhra Pradesh,ner_primary_1_to_5_girls,83.9,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_girls,100.0,ner,primary
Assam,ner_primary_1_to_5_girls,100.0,ner,primary
Bihar,ner_primary_1_to_5_girls,94.4,ner,primary
Chandigarh,ner_primary_1_to_5_girls,78.9,ner,primary
Chhattisgarh,ner_primary_1_to_5_girls,86.2,ner,primary
Dadra and Nagar Haveli and Daman and Diu,ner_primary_1_to_5_girls,82.6,ner,primary
Delhi,ner_primary_1_to_5_girls,100.0,ner,primary
Goa,ner_primary_1_to_5_girls,81.9,ner,primary
Gujarat,ner_primary_1_to_5_girls,79.4,ner,primary
Haryana,ner_primary_1_to_5_girls,82.2,ner,primary
Himachal Pradesh,ner_primary_1_to_5_girls,87.8,ner,primary
Jammu and Kashmir,ner_primary_1_to_5_girls,86.5,ner,primary
Jharkhand,ner_primary_1_to_5_girls,91.1,ner,primary
Karnataka,ner_primary_1_to_5_girls,96.1,ner,primary
Kerala,ner_primary_1_to_5_girls,86.5,ner,primary
Ladakh,ner_primary_1_to_5_girls,62.3,ner,primary
Lakshadweep,ner_primary_1_to_5_girls,75.5,ner,primary
Madhya Pradesh,ner_primary_1_to_5_girls,70.5,ner,primary
Maharashtra,ner_primary_1_to_5_girls,99.3,ner,primary
Manipur,ner_primary_1_to_5_girls,100.0,ner,primary
Meghalaya,ner_primary_1_to_5_girls,100.0,ner,primary
Mizoram,ner_primary_1_to_5_girls,100.0,ner,primary
Nagaland,ner_primary_1_to_5_girls,84.3,ner,primary
Odisha,ner_primary_1_to_5_girls,82.4,ner,primary
Puducherry,ner_primary_1_to_5_girls,62.8,ner,primary
Punjab,ner_primary_1_to_5_girls,90.0,ner,primary
Rajasthan,ner_primary_1_to_5_girls,85.3,ner,primary
Sikkim,ner_primary_1_to_5_girls,83.3,ner,primary
Tamil Nadu,ner_primary_1_to_5_girls,85.7,ner,primary
Telangana,ner_primary_1_to_5_girls,94.0,ner,primary
Tripura,ner_primary_1_to_5_girls,100.0,ner,primary
Uttarakhand,ner_primary_1_to_5_girls,87.1,ner,primary
Uttar Pradesh,ner_primary_1_to_5_girls,99.5,ner,primary
West Bengal,ner_primary_1_to_5_girls,100.0,ner,primary
India,ner_primary_1_to_5_total,88.6,ner,primary
Andaman and Nicobar Islands,ner_primary_1_to_5_total,61.4,ner,primary
Andhra Pradesh,ner_primary_1_to_5_total,83.8,ner,primary
Arunachal Pradesh,ner_primary_1_to_5_total,99.3,ner,primary
Assam,ner_primary_1_to_5_total,100.0,ner,primary
