state_ut,variable,value,level,category
India,total_schools_all_management,1466109,total,schools
Andaman & Nicobar Islands,total_schools_all_management,414,total,schools
Andhra Pradesh,total_schools_all_management,61680,total,schools
Arunachal Pradesh,total_schools_all_management,3543,total,schools
Assam,total_schools_all_management,58876,total,schools
Bihar,total_schools_all_management,91447,total,schools
Chandigarh,total_schools_all_management,230,total,schools
Chhattisgarh,total_schools_all_management,56333,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_all_management,459,total,schools
Delhi,total_schools_all_management,5488,total,schools
Goa,total_schools_all_management,1504,total,schools
Gujarat,total_schools_all_management,53603,total,schools
Haryana,total_schools_all_management,23561,total,schools
Himachal Pradesh,total_schools_all_management,18062,total,schools
Jammu & Kashmir,total_schools_all_management,24278,total,schools
Jharkhand,total_schools_all_management,44596,total,schools
Karnataka,total_schools_all_management,76090,total,schools
Kerala,total_schools_all_management,15934,total,schools
Ladakh,total_schools_all_management,979,total,schools
Lakshadweep,total_schools_all_management,37,total,schools
Madhya Pradesh,total_schools_all_management,122937,total,schools
Maharashtra,total_schools_all_management,108451,total,schools
Manipur,total_schools_all_management,4627,total,schools
Meghalaya,total_schools_all_management,14588,total,schools
Mizoram,total_schools_all_management,3891,total,schools
Nagaland,total_schools_all_management,2717,total,schools
Odisha,total_schools_all_management,61891,total,schools
Puducherry,total_schools_all_management,729,total,schools
Punjab,total_schools_all_management,27592,total,schools
Rajasthan,total_schools_all_management,106670,total,schools
Sikkim,total_schools_all_management,1250,total,schools
Tamil Nadu,total_schools_all_management,58150,total,schools
Telangana,total_schools_all_management,42476,total,schools
Tripura,total_schools_all_management,4912,total,schools
Uttar Pradesh,total_schools_all_management,251094,total,schools
Uttarakhand,total_schools_all_management,22618,total,schools
West Bengal,total_schools_all_management,94402,total,schools
India,total_schools_govt_,1016010,total,schools
Andaman & Nicobar Islands,total_schools_govt_,342,total,schools
Andhra Pradesh,total_schools_govt_,45167,total,schools
Arunachal Pradesh,total_schools_govt_,2922,total,schools
Assam,total_schools_govt_,44925,total,schools
Bihar,total_schools_govt_,75550,total,schools
Chandigarh,total_schools_govt_,119,total,schools
Chhattisgarh,total_schools_govt_,48728,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_govt_,387,total,schools
Delhi,total_schools_govt_,2673,total,schools
Goa,total_schools_govt_,806,total,schools
Gujarat,total_schools_govt_,34651,total,schools
Haryana,total_schools_govt_,14443,total,schools
Himachal Pradesh,total_schools_govt_,15447,total,schools
Jammu & Kashmir,total_schools_govt_,18785,total,schools
Jharkhand,total_schools_govt_,35764,total,schools
Karnataka,total_schools_govt_,49520,total,schools
Kerala,total_schools_govt_,4811,total,schools
Ladakh,total_schools_govt_,841,total,schools
Lakshadweep,total_schools_govt_,37,total,schools
Madhya Pradesh,total_schools_govt_,92741,total,schools
Maharashtra,total_schools_govt_,65431,total,schools
Manipur,total_schools_govt_,2922,total,schools
Meghalaya,total_schools_govt_,7778,total,schools
Mizoram,total_schools_govt_,2567,total,schools
Nagaland,total_schools_govt_,1954,total,schools
Odisha,total_schools_govt_,48767,total,schools
Puducherry,total_schools_govt_,422,total,schools
Punjab,total_schools_govt_,19245,total,schools
Rajasthan,total_schools_govt_,69538,total,schools
Sikkim,total_schools_govt_,864,total,schools
Tamil Nadu,total_schools_govt_,37658,total,schools
Telangana,total_schools_govt_,29997,total,schools
Tripura,total_schools_govt_,4245,total,schools
Uttar Pradesh,total_schools_govt_,137003,total,schools
Uttarakhand,total_schools_govt_,16381,total,schools
West Bengal,total_schools_govt_,82579,total,schools
India,total_schools_pvt_aided,81486,total,schools
Andaman & Nicobar Islands,total_schools_pvt_aided,2,total,schools
Andhra Pradesh,total_schools_pvt_aided,1202,total,schools
Arunachal Pradesh,total_schools_pvt_aided,71,total,schools
Assam,total_schools_pvt_aided,3386,total,schools
Bihar,total_schools_pvt_aided,724,total,schools
Chandigarh,total_schools_pvt_aided,7,total,schools
Chhattisgarh,total_schools_pvt_aided,415,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_pvt_aided,8,total,schools
Delhi,total_schools_pvt_aided,245,total,schools
Goa,total_schools_pvt_aided,558,total,schools
Gujarat,total_schools_pvt_aided,5562,total,schools
Haryana,total_schools_pvt_aided,6,total,schools
Himachal Pradesh,total_schools_pvt_aided,0,total,schools
Jammu & Kashmir,total_schools_pvt_aided,1,total,schools
Jharkhand,total_schools_pvt_aided,1149,total,schools
Karnataka,total_schools_pvt_aided,7029,total,schools
Kerala,total_schools_pvt_aided,7178,total,schools
Ladakh,total_schools_pvt_aided,27,total,schools
Lakshadweep,total_schools_pvt_aided,0,total,schools
Madhya Pradesh,total_schools_pvt_aided,615,total,schools
Maharashtra,total_schools_pvt_aided,23964,total,schools
Manipur,total_schools_pvt_aided,583,total,schools
Meghalaya,total_schools_pvt_aided,4173,total,schools
Mizoram,total_schools_pvt_aided,230,total,schools
Nagaland,total_schools_pvt_aided,0,total,schools
Odisha,total_schools_pvt_aided,5920,total,schools
Puducherry,total_schools_pvt_aided,33,total,schools
Punjab,total_schools_pvt_aided,447,total,schools
Rajasthan,total_schools_pvt_aided,0,total,schools
Sikkim,total_schools_pvt_aided,18,total,schools
Tamil Nadu,total_schools_pvt_aided,8279,total,schools
Telangana,total_schools_pvt_aided,670,total,schools
Tripura,total_schools_pvt_aided,43,total,schools
Uttar Pradesh,total_schools_pvt_aided,8249,total,schools
Uttarakhand,total_schools_pvt_aided,613,total,schools
West Bengal,total_schools_pvt_aided,79,total,schools
India,total_schools_pvt_unaided,323430,total,schools
Andaman & Nicobar Islands,total_schools_pvt_unaided,70,total,schools
Andhra Pradesh,total_schools_pvt_unaided,15127,total,schools
Arunachal Pradesh,total_schools_pvt_unaided,503,total,schools
Assam,total_schools_pvt_unaided,5677,total,schools
Bihar,total_schools_pvt_unaided,8053,total,schools
Chandigarh,total_schools_pvt_unaided,77,total,schools
Chhattisgarh,total_schools_pvt_unaided,6931,total,schools
Dadra & Nagar Haveli and Daman & Diu,total_schools_pvt_unaided,63,total,schools
Delhi,total_schools_pvt_unaided,2570,total,schools
Goa,total_schools_pvt_unaided,140,total,schools
Gujarat,total_schools_pvt_unaided,13387,total,schools
Haryana,total_schools_pvt_unaided,8315,total,schools
Himachal Pradesh,total_schools_pvt_unaided,2613,total,schools
Jammu & Kashmir,total_schools_pvt_unaided,5407,total,schools
Jharkhand,total_schools_pvt_unaided,1583,total,schools
Karnataka,total_schools_pvt_unaided,19531,total,schools
Kerala,total_schools_pvt_unaided,3095,total,schools
Ladakh,total_schools_pvt_unaided,111,total,schools
Lakshadweep,total_schools_pvt_unaided,0,total,schools
Madhya Pradesh,total_schools_pvt_unaided,28047,total,schools
Maharashtra,total_schools_pvt_unaided,18723,total,schools
Manipur,total_schools_pvt_unaided,996,total,schools
Meghalaya,total_schools_pvt_unaided,2121,total,schools
Mizoram,total_schools_pvt_unaided,1023,total,schools
Nagaland,total_schools_pvt_unaided,762,total,schools
Odisha,total_schools_pvt_unaided,6062,total,schools
