state_ut,variable,value,level,category
India,retention_rate_foundational_boys,98.8,retention,rate
Andaman & Nicobar Islands,retention_rate_foundational_boys,91.9,retention,rate
Andhra Pradesh,retention_rate_foundational_boys,100.0,retention,rate
Assam,retention_rate_foundational_boys,66.8,retention,rate
Bihar,retention_rate_foundational_boys,85.8,retention,rate
Chhattisgarh,retention_rate_foundational_boys,94.1,retention,rate
Chandigarh,retention_rate_foundational_boys,100.0,retention,rate
Dadra & Nagar Haveli and Daman & Diu,retention_rate_foundational_boys,90.7,retention,rate
Delhi,retention_rate_foundational_boys,100.0,retention,rate
Goa,retention_rate_foundational_boys,100.0,retention,rate
Gujarat,retention_rate_foundational_boys,100.0,retention,rate
Haryana,retention_rate_foundational_boys,100.0,retention,rate
Himachal Pradesh,retention_rate_foundational_boys,100.0,retention,rate
Jammu & Kashmir,retention_rate_foundational_boys,99.4,retention,rate
Jharkhand,retention_rate_foundational_boys,85.7,retention,rate
Karnataka,retention_rate_foundational_boys,85.2,retention,rate
Kerala,retention_rate_foundational_boys,98.9,retention,rate
Ladakh,retention_rate_foundational_boys,95.0,retention,rate
Lakshadweep,retention_rate_foundational_boys,89.1,retention,rate
Madhya Pradesh,retention_rate_foundational_boys,97.3,retention,rate
Maharashtra,retention_rate_foundational_boys,90.3,retention,rate
Manipur,retention_rate_foundational_boys,80.6,retention,rate
Meghalaya,retention_rate_foundational_boys,73.3,retention,rate
Mizoram,retention_rate_foundational_boys,70.2,retention,rate
Nagaland,retention_rate_foundational_boys,85.5,retention,rate
Odisha,retention_rate_foundational_boys,100.0,retention,rate
Puducherry,retention_rate_foundational_boys,96.8,retention,rate
Punjab,retention_rate_foundational_boys,95.2,retention,rate
Rajasthan,retention_rate_foundational_boys,92.8,retention,rate
Sikkim,retention_rate_foundational_boys,92.2,retention,rate
Tamil Nadu,retention_rate_foundational_boys,95.8,retention,rate
Telangana,retention_rate_foundational_boys,95.6,retention,rate
Tripura,retention_rate_foundational_boys,100.0,retention,rate
Uttar Pradesh,retention_rate_foundational_boys,81.8,retention,rate
Uttarakhand,retention_rate_foundational_boys,91.7,retention,rate
West Bengal,retention_rate_foundational_boys,90.1,retention,rate
India,retention_rate_foundational_girls,92.4,retention,rate
Andaman & Nicobar Islands,retention_rate_foundational_girls,100.0,retention,rate
Andhra Pradesh,retention_rate_foundational_girls,100.0,retention,rate
Assam,retention_rate_foundational_girls,68.9,retention,rate
Bihar,retention_rate_foundational_girls,85.8,retention,rate
Chhattisgarh,retention_rate_foundational_girls,96.4,retention,rate
Chandigarh,retention_rate_foundational_girls,100.0,retention,rate
Dadra & Nagar Haveli and Daman & Diu,retention_rate_foundational_girls,91.3,retention,rate
Delhi,retention_rate_foundational_girls,100.0,retention,rate
Goa,retention_rate_foundational_girls,100.0,retention,rate
Gujarat,retention_rate_foundational_girls,100.0,retention,rate
Haryana,retention_rate_foundational_girls,100.0,retention,rate
Himachal Pradesh,retention_rate_foundational_girls,99.1,retention,rate
Jammu & Kashmir,retention_rate_foundational_girls,99.8,retention,rate
Jharkhand,retention_rate_foundational_girls,84.7,retention,rate
Karnataka,retention_rate_foundational_girls,85.7,retention,rate
Kerala,retention_rate_foundational_girls,99.1,retention,rate
Ladakh,retention_rate_foundational_girls,95.5,retention,rate
