state_ut,variable,value,level,category
India,primary_boys,86.5,primary,boys
Andaman and Nicobar Islands,primary_boys,94.1,primary,boys
Andhra Pradesh,primary_boys,100.0,primary,boys
Arunachal Pradesh,primary_boys,45.6,primary,boys
Assam,primary_boys,75.2,primary,boys
Bihar,primary_boys,83.7,primary,boys
Chandigarh,primary_boys,100.0,primary,boys
Chhattisgarh,primary_boys,88.6,primary,boys
Dadra and Nagar Haveli,primary_boys,97.1,primary,boys
Daman and Diu,primary_boys,100.0,primary,boys
Delhi,primary_boys,100.0,primary,boys
Goa,primary_boys,94.1,primary,boys
Gujarat,primary_boys,94.8,primary,boys
Haryana,primary_boys,100.0,primary,boys
Himachal Pradesh,primary_boys,97.7,primary,boys
Jammu and Kashmir,primary_boys,71.0,primary,boys
Jharkhand,primary_boys,79.4,primary,boys
Karnataka,primary_boys,96.0,primary,boys
Kerala,primary_boys,99.6,primary,boys
Ladakh,primary_boys,79.0,primary,boys
Lakshadweep,primary_boys,100.0,primary,boys
Madhya Pradesh,primary_boys,88.6,primary,boys
Maharashtra,primary_boys,97.9,primary,boys
Manipur,primary_boys,73.6,primary,boys
Meghalaya,primary_boys,53.6,primary,boys
Mizoram,primary_boys,61.4,primary,boys
Nagaland,primary_boys,64.7,primary,boys
Odisha,primary_boys,87.7,primary,boys
Puducherry,primary_boys,100.0,primary,boys
Punjab,primary_boys,90.7,primary,boys
Rajasthan,primary_boys,75.4,primary,boys
Sikkim,primary_boys,91.1,primary,boys
Tamil Nadu,primary_boys,95.2,primary,boys
Telangana,primary_boys,84.3,primary,boys
Tripura,primary_boys,93.8,primary,boys
Uttar Pradesh,primary_boys,79.4,primary,boys
Uttarakhand,primary_boys,85.0,primary,boys
West Bengal,primary_boys,84.7,primary,boys
India,primary_girls,87.5,primary,girls
Andaman and Nicobar Islands,primary_girls,95.7,primary,girls
Andhra Pradesh,primary_girls,100.0,primary,girls
Arunachal Pradesh,primary_girls,49.1,primary,girls
Assam,primary_girls,78.4,primary,girls
Bihar,primary_girls,86.9,primary,girls
Chandigarh,primary_girls,100.0,primary,girls
Chhattisgarh,primary_girls,89.9,primary,girls
Dadra and Nagar Haveli,primary_girls,98.6,primary,girls
Daman and Diu,primary_girls,100.0,primary,girls
Delhi,primary_girls,100.0,primary,girls
Goa,primary_girls,97.8,primary,girls
Gujarat,primary_girls,95.3,primary,girls
Haryana,primary_girls,100.0,primary,girls
Himachal Pradesh,primary_girls,97.2,primary,girls
Jammu and Kashmir,primary_girls,70.6,primary,girls
Jharkhand,primary_girls,81.7,primary,girls
Karnataka,primary_girls,96.2,primary,girls
Kerala,primary_girls,99.7,primary,girls
Ladakh,primary_girls,81.1,primary,girls
Lakshadweep,primary_girls,100.0,primary,girls
Madhya Pradesh,primary_girls,90.8,primary,girls
Maharashtra,primary_girls,98.0,primary,girls
Manipur,primary_girls,70.9,primary,girls
Meghalaya,primary_girls,58.7,primary,girls
Mizoram,primary_girls,62.8,primary,girls
Nagaland,primary_girls,66.5,primary,girls
Odisha,primary_girls,87.6,primary,girls
Puducherry,primary_girls,100.0,primary,girls
Punjab,primary_girls,91.9,primary,girls
Rajasthan,primary_girls,76.6,primary,girls
Sikkim,primary_girls,94.0,primary,girls
Tamil Nadu,primary_girls,94.4,primary,girls
Telangana,primary_girls,84.8,primary,girls
Tripura,primary_girls,95.9,primary,girls
Uttar Pradesh,primary_girls,79.6,primary,girls
Uttarakhand,primary_girls,86.1,primary,girls
West Bengal,primary_girls,87.6,primary,girls
India,primary_total,87.0,primary,total
Andaman and Nicobar Islands,primary_total,94.9,primary,total
Andhra Pradesh,primary_total,100.0,primary,total
Arunachal Pradesh,primary_total,47.2,primary,total
Assam,primary_total,76.8,primary,total
Bihar,primary_total,85.3,primary,total
Chandigarh,primary_total,100.0,primary,total
Chhattisgarh,primary_total,89.2,primary,total
